seed=0 N=     1      sdr: 1.0000 (β=100, gain=16, k=40, 500問)
seed=0 N=     1    dense: 1.0000 (β=100, gain=16, k=40, 500問)
seed=0 N=     1   cortex: 1.0000 (β=100, gain=16, k=40, 500問)
seed=0 N=     1     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=0 N=     1 sdr-dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=0 N=     1     none: 0.0180 (β=0, gain=0, k=40, 500問)
seed=0 N=    10      sdr: 1.0000 (β=100, gain=4, k=40, 500問)
seed=0 N=    10    dense: 1.0000 (β=100, gain=4, k=40, 500問)
seed=0 N=    10   cortex: 1.0000 (β=100, gain=4, k=40, 500問)
seed=0 N=    10     dict: 1.0000 (β=0, gain=4, k=40, 500問)
seed=0 N=    10 sdr-dict: 1.0000 (β=0, gain=4, k=40, 500問)
seed=0 N=    10     none: 0.0100 (β=0, gain=0, k=40, 500問)
seed=0 N=   100      sdr: 1.0000 (β=100, gain=4, k=40, 500問)
seed=0 N=   100    dense: 1.0000 (β=100, gain=4, k=40, 500問)
seed=0 N=   100   cortex: 1.0000 (β=100, gain=4, k=40, 500問)
seed=0 N=   100     dict: 1.0000 (β=0, gain=4, k=40, 500問)
seed=0 N=   100 sdr-dict: 1.0000 (β=0, gain=4, k=40, 500問)
seed=0 N=   100     none: 0.0180 (β=0, gain=0, k=40, 500問)
seed=0 N=  1000      sdr: 1.0000 (β=100, gain=16, k=40, 1000問)
seed=0 N=  1000    dense: 1.0000 (β=100, gain=16, k=40, 1000問)
seed=0 N=  1000   cortex: 1.0000 (β=100, gain=16, k=40, 1000問)
seed=0 N=  1000     dict: 1.0000 (β=0, gain=16, k=40, 1000問)
seed=0 N=  1000 sdr-dict: 1.0000 (β=0, gain=16, k=40, 1000問)
seed=0 N=  1000     none: 0.0130 (β=0, gain=0, k=40, 1000問)
seed=0 N= 10000      sdr: 1.0000 (β=100, gain=16, k=40, 10000問)
seed=0 N= 10000    dense: 1.0000 (β=100, gain=16, k=40, 10000問)
seed=0 N= 10000   cortex: 1.0000 (β=100, gain=16, k=40, 10000問)
seed=0 N= 10000     dict: 1.0000 (β=0, gain=16, k=40, 10000問)
