seed=0 N=     1      sdr: 1.0000 (β=100, gain=16, k=40, 500問)
seed=0 N=     1    dense: 1.0000 (β=100, gain=16, k=40, 500問)
seed=0 N=     1   cortex: 1.0000 (β=100, gain=16, k=40, 500問)
seed=0 N=     1     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=0 N=     1 sdr-dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=0 N=     1     none: 0.0180 (β=0, gain=0, k=40, 500問)
seed=0 N=    10      sdr: 0.4480 (β=10000, gain=16, k=640, 500問)
seed=0 N=    10    dense: 0.9640 (β=10000, gain=64, k=40, 500問)
seed=0 N=    10   cortex: 0.9600 (β=100000, gain=16, k=40, 500問)
seed=0 N=    10     dict: 0.9600 (β=0, gain=16, k=40, 500問)
seed=0 N=    10 sdr-dict: 0.4580 (β=0, gain=16, k=640, 500問)
seed=0 N=    10     none: 0.0140 (β=0, gain=0, k=40, 500問)
seed=0 N=   100      sdr: 0.1340 (β=1000, gain=64, k=640, 500問)
seed=0 N=   100    dense: 0.7820 (β=100000, gain=16, k=40, 500問)
seed=0 N=   100   cortex: 0.8300 (β=100000, gain=16, k=40, 500問)
seed=0 N=   100     dict: 0.8300 (β=0, gain=16, k=40, 500問)
seed=0 N=   100 sdr-dict: 0.1260 (β=0, gain=16, k=640, 500問)
seed=0 N=   100     none: 0.0160 (β=0, gain=0, k=40, 500問)
seed=0 N=  1000      sdr: 0.0430 (β=1e+06, gain=16, k=640, 1000問)
seed=0 N=  1000    dense: 0.5050 (β=100000, gain=16, k=40, 1000問)
seed=0 N=  1000   cortex: 0.5500 (β=1e+06, gain=64, k=40, 1000問)
seed=0 N=  1000     dict: 0.5510 (β=0, gain=16, k=40, 1000問)
seed=0 N=  1000 sdr-dict: 0.0380 (β=0, gain=16, k=640, 1000問)
seed=0 N=  1000     none: 0.0190 (β=0, gain=0, k=40, 1000問)
seed=0 N= 10000      sdr: 0.0212 (β=1e+06, gain=64, k=640, 10000問)
seed=0 N= 10000    dense: 0.2887 (β=100000, gain=64, k=40, 10000問)
seed=0 N= 10000   cortex: 0.3279 (β=100000, gain=64, k=40, 10000問)
seed=0 N= 10000     dict: 0.3270 (β=0, gain=16, k=40, 10000問)
