t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.005,3165,0,1442,3165
0.122,1572,0,282,1572
0.243,1090,0,161,1090
0.358,1049,0,121,1049
0.479,1009,0,121,1009
0.602,1009,0,121,1009
0.722,1009,0,121,1009
0.846,1009,0,121,1009
0.965,1009,0,121,1009
1.085,1009,0,161,1009
1.191,1532,0,403,1532
1.312,1130,0,161,1130
1.418,1532,0,201,1532
1.535,1130,0,161,1130
1.660,1130,0,161,1130
1.782,1049,0,121,1049
1.904,1009,0,121,1009
2.025,1009,0,121,1009
2.144,1009,0,121,1009
2.266,1009,0,121,1009
2.390,1009,0,121,1009
2.495,1009,0,161,1009
2.608,1292,0,161,1292
2.726,1049,0,121,1049
2.842,1009,0,121,1009
2.961,1009,0,121,1009
3.079,1009,0,121,1009
3.198,1009,0,121,1009
3.316,1009,0,121,1009
3.438,1009,0,121,1009
3.556,1009,0,121,1009
3.673,1090,0,121,1090
3.795,1049,0,121,1049
3.916,1090,0,161,1090
4.034,1090,0,161,1090
4.152,1292,0,241,1292
4.270,1090,0,161,1090
4.388,1090,0,201,1090
4.504,1090,0,201,1090
4.622,1090,0,161,1090
4.741,1090,0,161,1090
4.863,1049,0,161,1049
4.981,1049,0,161,1049
5.102,1090,0,161,1090
5.220,1090,0,201,1090
5.338,1090,0,161,1090
5.453,1090,0,161,1090
5.569,1090,0,241,1090
5.675,1612,0,442,1612
5.790,1330,0,241,1330
5.905,1332,0,282,1332
6.023,1130,0,282,1130
6.145,1171,0,201,1171
6.263,1090,0,161,1090
6.382,1090,0,201,1090
6.502,1090,0,161,1090
6.619,1049,0,121,1049
6.738,1009,0,121,1009
6.855,1009,0,121,1009
6.976,1009,0,121,1009
7.094,1009,0,121,1009
7.216,1009,0,121,1009
7.333,1009,0,121,1009
7.456,1171,0,121,1171
7.573,1009,0,121,1009
7.691,1009,0,121,1009
7.812,1009,0,121,1009
7.933,1009,0,121,1009
8.051,1009,0,121,1009
8.171,1009,0,121,1009
8.292,1049,0,121,1049
8.415,1009,0,121,1009
8.535,1009,0,121,1009
8.658,1009,0,121,1009
8.779,1009,0,121,1009
8.905,1009,0,121,1009
9.028,1009,0,121,1009
9.146,1009,0,121,1009
9.268,1009,0,121,1009
9.389,1009,0,121,1009
9.512,1009,0,121,1009
9.632,1009,0,121,1009
9.752,1009,0,121,1009
9.874,1009,0,121,1009
9.994,1009,0,121,1009
10.113,1049,0,201,1049
10.230,1171,0,201,1171
10.336,1491,0,282,1491
10.460,1171,0,161,1171
10.582,1090,0,201,1090
10.698,1049,0,121,1049
10.820,1009,0,121,1009
10.939,1009,0,121,1009
11.060,1009,0,121,1009
11.181,1009,0,121,1009
11.305,1009,0,121,1009
11.429,1009,0,121,1009
11.552,1009,0,121,1009
11.673,1009,0,121,1009
11.798,1009,0,121,1009
11.921,1009,0,121,1009
12.039,1009,0,121,1009
12.164,1009,0,121,1009
12.281,1009,0,121,1009
12.403,1009,0,121,1009
12.530,1049,0,120,1049
12.651,1211,0,161,1211
12.771,1211,0,161,1211
12.878,1451,0,282,1451
12.992,1292,0,161,1292
13.113,1130,0,161,1130
13.233,1049,0,161,1049
13.351,1009,0,121,1009
13.469,1009,0,121,1009
13.585,1009,0,121,1009
13.704,1049,0,121,1049
13.825,1009,0,121,1009
13.946,1009,0,121,1009
14.065,1009,0,121,1009
14.182,1009,0,121,1009
14.301,1009,0,121,1009
14.422,1009,0,121,1009
14.542,1009,0,121,1009
14.661,1009,0,121,1009
14.781,1009,0,121,1009
14.902,1009,0,121,1009
15.021,1009,0,121,1009
15.141,1009,0,121,1009
15.261,1009,0,121,1009
15.383,1009,0,121,1009
15.499,1009,0,121,1009
15.618,1009,0,121,1009
15.736,1009,0,121,1009
15.857,1009,0,121,1009
15.978,1009,0,121,1009
16.097,1009,0,121,1009
16.220,1009,0,121,1009
16.340,1009,0,121,1009
16.457,1009,0,121,1009
16.576,1009,0,121,1009
16.687,1572,0,241,1572
16.806,1090,0,121,1090
16.926,1009,0,121,1009
17.048,1009,0,121,1009
17.157,1090,0,201,1090
17.277,1171,0,161,1171
17.386,1653,0,322,1653
17.506,1130,0,161,1130
17.624,1130,0,161,1130
17.741,1049,0,121,1049
17.862,1009,0,121,1009
17.979,1009,0,121,1009
18.099,1009,0,121,1009
18.217,1009,0,121,1009
18.336,1009,0,121,1009
18.454,1211,0,161,1211
18.572,1049,0,121,1049
18.691,1009,0,121,1009
18.809,1009,0,121,1009
18.929,1009,0,121,1009
19.039,1733,0,442,1733
19.160,1130,0,161,1130
19.281,1049,0,161,1049
19.404,1009,0,121,1009
19.519,1009,0,161,1009
19.637,1451,0,241,1451
19.760,1411,0,241,1411
19.869,1130,0,201,1130
19.985,1451,0,161,1451
20.100,1491,0,282,1491
