t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.007,2451,40,884,2451
0.113,2532,40,924,2532
0.219,2532,40,964,2532
0.325,2532,40,964,2532
0.431,2491,0,964,2491
0.537,2572,0,1003,2572
0.643,2491,0,964,2491
0.749,2491,0,964,2491
0.855,2451,0,964,2451
0.960,2451,0,924,2451
1.066,2451,0,924,2451
1.172,2411,0,924,2411
1.278,2451,0,964,2451
1.384,2451,0,924,2451
1.491,2451,0,884,2451
1.597,2491,0,924,2491
1.703,2491,0,924,2491
1.809,2491,0,964,2491
1.915,2451,0,844,2451
2.022,2532,0,924,2532
2.127,2451,0,924,2451
2.234,2451,0,924,2451
2.340,2491,40,964,2491
2.446,2572,40,963,2572
2.552,2612,40,963,2612
2.658,2889,40,1282,2889
2.764,2572,40,1003,2572
2.871,2768,0,1163,2768
2.977,2728,0,1163,2728
3.083,2849,0,1243,2849
3.189,2728,0,1163,2728
3.295,2652,0,1083,2652
3.401,2612,0,1043,2612
3.507,2652,0,1043,2652
3.613,2849,0,1282,2849
3.720,2849,0,1282,2849
3.826,2728,0,1203,2728
3.932,2612,0,1043,2612
4.038,2849,0,1284,2849
4.148,2491,0,1003,2491
4.254,2969,0,1402,2969
4.360,2532,0,1003,2532
4.466,2728,0,1163,2728
4.572,2728,0,1163,2728
4.679,2652,0,1083,2652
4.785,2612,0,1083,2612
4.891,2688,0,1123,2688
4.997,2612,0,1083,2612
5.103,2612,0,1003,2612
5.209,2768,0,1243,2768
5.316,2532,0,1004,2532
5.422,2929,0,1402,2929
5.532,2491,0,964,2491
5.638,2768,0,1203,2768
5.744,2688,0,1163,2688
5.850,2692,0,1083,2692
5.956,2688,0,1123,2688
6.062,2969,0,1322,2969
6.168,2728,0,1123,2728
6.275,2688,0,1123,2688
6.381,2688,0,1123,2688
6.487,2612,0,1043,2612
6.593,2768,0,1241,2768
6.699,2612,0,1083,2612
6.805,2808,0,1282,2808
6.911,2532,0,1003,2532
7.017,2808,0,1203,2808
7.123,2648,0,1163,2648
7.229,2889,0,1282,2889
7.335,2688,0,1203,2688
7.441,2688,0,1123,2688
7.547,2648,0,1083,2648
7.653,2612,0,1043,2612
7.759,2688,0,1203,2688
7.865,2688,0,1083,2688
7.971,2728,0,1163,2728
8.077,2572,0,1003,2572
8.183,2849,0,1282,2849
8.290,2532,0,1003,2532
8.396,2969,0,1362,2969
8.502,2572,0,1043,2572
8.608,2849,0,1243,2849
8.714,2929,0,1362,2929
8.820,2728,0,1123,2728
8.927,2728,0,1123,2728
9.033,2768,0,1203,2768
9.139,2688,0,1123,2688
9.245,2648,0,1043,2648
9.351,2688,0,1123,2688
9.457,2612,0,1003,2612
9.563,2889,0,1322,2889
9.669,2612,0,1043,2612
9.775,2849,0,1282,2849
9.881,2572,0,1043,2572
9.987,2768,0,1163,2768
10.093,2728,0,1123,2728
10.199,2808,0,1203,2808
10.305,2728,0,1123,2728
10.411,2692,0,1083,2692
10.517,2612,0,1083,2612
10.623,2612,0,1003,2612
10.729,2808,0,1243,2808
10.835,2652,0,1043,2652
10.941,3044,0,1322,3044
11.047,3124,0,1241,3124
11.153,3245,0,1322,3245
11.260,3009,0,1121,3009
11.366,2929,0,1282,2929
11.473,2532,0,803,2532
11.579,2371,0,723,2371
11.686,2411,0,763,2411
11.792,2491,0,884,2491
11.911,1693,40,282,1693
