t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.007,3480,0,1680,3480
0.112,2889,0,1163,2889
0.218,2532,0,882,2532
0.324,2411,0,763,2411
0.430,2411,0,763,2411
0.536,2250,0,602,2250
0.641,2411,0,803,2411
0.747,2491,0,802,2491
0.853,2532,0,964,2532
0.959,2491,0,964,2491
1.064,2491,0,964,2491
1.170,2451,0,924,2451
1.276,2451,0,924,2451
1.382,2451,0,924,2451
1.488,2411,0,924,2411
1.594,2451,0,964,2451
1.700,2451,0,924,2451
1.806,2451,0,924,2451
1.912,2451,0,803,2451
2.017,2451,0,763,2451
2.123,2768,0,1043,2768
2.229,2491,0,882,2491
2.335,2572,0,922,2572
2.441,2451,0,803,2451
2.548,2451,0,763,2451
2.653,2451,0,844,2451
2.759,2532,0,882,2532
2.865,2491,0,842,2491
2.971,2411,40,803,2411
3.077,2572,40,963,2572
3.183,2768,40,922,2768
3.289,2688,80,1003,2688
3.395,2849,80,1083,2849
3.501,2929,80,1201,2929
3.608,2929,80,1201,2929
3.713,2929,80,1241,2929
3.819,2808,80,1043,2808
3.926,2929,80,1243,2929
4.033,2849,80,1163,2849
4.140,2849,80,1043,2849
4.245,2969,40,1322,2969
4.351,2929,80,1282,2929
4.458,2969,80,1241,2969
4.564,2768,80,1003,2768
4.670,3004,80,1362,3004
4.775,3044,80,1362,3044
4.882,2849,80,1043,2849
4.988,2929,40,1282,2929
5.094,3009,40,1282,3009
5.200,2889,80,1163,2889
5.308,2889,80,1241,2889
5.414,2808,40,1163,2808
5.523,2929,80,1282,2929
5.629,2929,80,1241,2929
5.735,2849,80,1163,2849
5.841,2889,80,1163,2889
5.947,2929,80,1241,2929
6.053,2652,40,963,2652
6.160,2969,80,1362,2969
6.266,2849,80,1203,2849
6.372,2808,40,1123,2808
6.478,2808,80,1161,2808
6.586,3009,80,1322,3009
6.693,2889,40,1161,2889
6.799,3009,80,1322,3009
6.905,2889,80,1201,2889
7.011,2929,80,1241,2929
7.117,2929,80,1241,2929
7.223,2849,40,1203,2849
7.329,2889,80,1241,2889
7.435,2849,80,1161,2849
7.541,2889,40,1201,2889
7.647,2768,40,1123,2768
7.755,2929,80,1201,2929
7.862,2849,40,1203,2849
7.967,2808,80,1123,2808
8.074,2889,80,1201,2889
8.180,2969,80,1282,2969
8.286,2849,80,1123,2849
8.392,2929,80,1241,2929
8.497,2889,80,1201,2889
8.603,2728,80,1083,2728
8.709,2849,40,1123,2849
8.815,2849,40,1241,2849
8.922,2929,80,1241,2929
9.050,2969,80,1280,2969
9.156,2969,80,1282,2969
9.262,3009,80,1322,3009
9.368,2768,40,1043,2768
9.474,2969,80,1282,2969
9.582,2768,80,1003,2768
9.688,2728,80,1043,2728
9.794,2808,80,1163,2808
9.900,2768,80,1123,2768
10.006,2768,80,1123,2768
10.112,2808,80,1163,2808
10.218,2808,80,1163,2808
10.324,2849,80,1163,2849
10.429,2808,80,1123,2808
10.537,2849,40,1163,2849
10.642,2849,80,1163,2849
10.749,2969,80,1201,2969
10.856,2929,80,1282,2929
10.962,2889,120,1161,2889
11.067,3009,240,1161,3009
11.173,3124,320,1161,3124
11.278,2969,200,1201,2969
11.384,3165,320,1161,3165
11.490,3009,240,1201,3009
11.595,3205,360,1161,3205
11.701,3009,200,1201,3009
11.807,3129,320,1161,3129
11.912,2969,200,1201,2969
12.018,3049,240,1201,3049
12.124,3049,320,1121,3049
12.230,3009,240,1201,3009
12.336,3129,320,1161,3129
12.442,3049,280,1201,3049
12.548,3170,360,1161,3170
12.653,3049,240,1201,3049
12.759,3205,360,1161,3205
12.865,3009,240,1241,3009
12.971,3170,320,1161,3170
13.076,3009,200,1241,3009
13.182,3049,240,1201,3049
13.288,3124,400,1121,3124
13.394,3049,240,1201,3049
13.500,3285,320,1282,3285
13.606,3009,240,1201,3009
13.711,3205,360,1201,3205
13.817,3084,240,1241,3084
13.923,3205,360,1161,3205
14.028,3009,240,1241,3009
14.134,3124,320,1161,3124
14.240,2969,200,1201,2969
14.345,3049,240,1201,3049
14.451,3205,400,1161,3205
14.557,3009,240,1201,3009
14.662,3165,320,1161,3165
14.768,3049,280,1201,3049
14.874,3124,360,1161,3124
14.979,3009,240,1201,3009
15.085,3205,360,1161,3205
15.190,3009,200,1241,3009
15.296,3089,280,1201,3089
15.402,3009,280,1161,3009
15.508,3009,240,1201,3009
15.614,3205,400,1161,3205
15.720,2969,200,1161,2969
15.825,3049,321,1081,3049
15.932,3049,240,1161,3049
16.039,3165,360,1121,3165
16.144,2969,240,1161,2969
16.250,3170,360,1121,3170
16.355,2969,200,1161,2969
16.461,3009,280,1121,3009
16.568,3009,320,1161,3009
16.674,3009,240,1161,3009
16.781,3165,360,1121,3165
16.886,2969,240,1161,2969
16.992,3124,320,1121,3124
17.098,3009,240,1161,3009
17.203,3124,360,1121,3124
17.309,2969,200,1161,2969
17.414,3084,320,1161,3084
17.520,2929,240,1161,2929
17.627,3009,240,1161,3009
17.733,3124,320,1161,3124
17.839,3009,200,1201,3009
17.945,3285,360,1241,3285
18.050,3089,280,1201,3089
18.156,3165,360,1201,3165
18.263,3049,240,1241,3049
18.369,3165,360,1121,3165
18.475,2969,200,1201,2969
18.581,3084,320,1161,3084
18.687,3009,280,1161,3009
18.792,3009,240,1161,3009
18.898,3089,320,1161,3089
19.003,2969,200,1203,2969
19.109,3205,400,1161,3205
19.215,3049,240,1161,3049
19.320,3129,360,1121,3129
19.426,2969,200,1161,2969
19.532,3084,320,1161,3084
19.638,2969,200,1201,2969
19.744,3049,280,1161,3049
19.849,3129,320,1161,3129
19.955,2969,200,1161,2969
20.061,3089,320,1121,3089
20.166,3009,280,1161,3009
20.272,3165,400,1121,3165
20.377,3009,240,1201,3009
20.483,3165,360,1161,3165
20.590,3165,200,1362,3165
20.696,3124,320,1201,3124
20.802,2969,200,1201,2969
20.907,3049,280,1161,3049
21.013,3124,320,1161,3124
21.119,3009,240,1161,3009
21.224,3124,320,1161,3124
21.330,2969,240,1161,2969
21.436,3205,400,1161,3205
21.541,3009,240,1161,3009
21.647,3124,360,1121,3124
21.752,3009,200,1201,3009
21.858,3124,321,1161,3124
21.964,2969,200,1201,2969
22.070,2652,120,802,2652
22.176,2491,40,683,2491
22.282,2491,40,763,2491
22.388,2572,40,882,2572
22.494,2532,40,884,2532
22.600,2572,0,1003,2572
22.706,2652,0,1043,2652
22.812,2768,40,963,2768
