t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.013,2371,40,844,2371
0.119,2532,40,924,2532
0.225,2532,40,964,2532
0.331,2532,40,924,2532
0.437,2491,0,924,2491
0.543,2532,0,963,2532
0.649,2491,0,964,2491
0.755,2491,0,964,2491
0.861,2451,0,964,2451
0.967,2451,0,924,2451
1.073,2451,0,924,2451
1.178,2411,0,924,2411
1.284,2451,0,964,2451
1.390,2451,0,924,2451
1.496,2451,0,924,2451
1.602,2491,0,924,2491
1.708,2491,0,924,2491
1.814,2491,0,924,2491
1.921,2532,0,884,2532
2.026,2491,0,924,2491
2.132,2451,0,924,2451
2.238,2451,0,924,2451
2.344,2491,40,884,2491
2.450,2572,40,963,2572
2.556,2969,40,1322,2969
2.663,3009,40,1362,3009
2.769,3124,40,1442,3124
2.875,3084,0,1482,3084
2.981,2929,0,1322,2929
3.087,3004,0,1442,3004
3.193,2889,0,1322,2889
3.300,3004,0,1482,3004
3.406,3084,0,1522,3084
3.512,3044,0,1442,3044
3.619,3245,0,1640,3245
3.725,3084,0,1522,3084
3.830,2969,0,1362,2969
3.936,3044,0,1442,3044
4.043,2849,0,1282,2849
4.149,3004,0,1442,3004
4.255,3004,0,1482,3004
4.362,2969,0,1362,2969
4.468,3044,0,1442,3044
4.574,3044,0,1482,3044
4.680,2929,0,1362,2929
4.786,3044,0,1442,3044
4.892,2889,0,1362,2889
4.999,2969,0,1402,2969
5.105,3004,0,1482,3004
5.211,2969,0,1362,2969
5.317,3084,0,1482,3084
5.423,3084,0,1482,3084
5.529,2929,0,1322,2929
5.634,3009,0,1402,3009
5.741,2889,0,1362,2889
5.847,3009,0,1442,3009
5.953,3245,0,1640,3245
6.059,2964,0,1402,2964
6.165,3084,0,1482,3084
6.271,3165,0,1522,3165
6.377,2929,0,1322,2929
6.483,3009,0,1402,3009
6.589,2889,0,1362,2889
6.695,2969,0,1442,2969
6.801,3044,0,1442,3044
6.907,3084,0,1482,3084
7.014,3044,0,1442,3044
7.119,3004,0,1402,3004
7.225,2849,0,1282,2849
7.331,2929,0,1362,2929
7.438,2929,0,1362,2929
7.544,2964,0,1442,2964
7.650,3044,0,1442,3044
7.756,3044,0,1482,3044
7.862,3044,0,1442,3044
7.968,3009,0,1402,3009
8.073,2849,0,1284,2849
8.180,2929,0,1362,2929
8.286,2929,0,1362,2929
8.392,3004,0,1482,3004
8.498,3009,0,1402,3009
8.604,3004,0,1482,3004
8.710,3004,0,1442,3004
8.816,2969,0,1362,2969
8.922,2808,0,1282,2808
9.028,2929,0,1362,2929
9.134,2929,0,1402,2929
9.240,3004,0,1482,3004
9.347,3004,0,1402,3004
9.452,3004,0,1482,3004
9.559,3044,0,1482,3044
9.664,2929,0,1322,2929
9.770,2849,0,1322,2849
9.876,2929,0,1362,2929
9.982,2929,0,1402,2929
10.089,3044,0,1482,3044
10.195,3004,0,1402,3004
10.301,3084,0,1482,3084
10.407,3165,0,1560,3165
10.513,3044,0,1482,3044
10.622,2849,0,1322,2849
10.728,2969,0,1402,2969
10.834,2969,0,1442,2969
10.941,3044,0,1482,3044
11.047,3009,0,1402,3009
11.153,3044,0,1442,3044
11.259,3044,0,1482,3044
11.365,2929,0,1322,2929
11.471,2849,0,1322,2849
11.577,2964,0,1442,2964
11.683,3044,0,1482,3044
11.789,3084,0,1522,3084
11.895,3004,0,1442,3004
12.001,3004,0,1402,3004
12.107,3084,0,1482,3084
12.213,2889,0,1282,2889
12.319,2889,0,1322,2889
12.425,3044,0,1482,3044
12.531,3004,0,1402,3004
12.637,3044,0,1482,3044
12.743,3084,0,1482,3084
12.849,3004,0,1402,3004
12.955,3084,0,1482,3084
13.061,2849,0,1282,2849
13.167,2889,0,1362,2889
13.274,2969,0,1402,2969
13.380,3004,0,1442,3004
13.486,3044,0,1482,3044
13.592,3044,0,1482,3044
13.698,3084,0,1442,3084
13.803,3084,0,1522,3084
13.909,2889,0,1282,2889
14.016,2889,0,1362,2889
14.122,3004,0,1442,3004
14.228,3044,0,1402,3044
14.334,3084,0,1482,3084
14.440,3044,0,1482,3044
14.545,2929,0,1362,2929
14.652,2728,0,1043,2728
14.758,2491,0,842,2491
14.864,2451,0,763,2451
14.970,2572,0,922,2572
15.076,2491,40,844,2491
