t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.007,3485,0,1720,3485
0.115,3405,0,1680,3405
0.221,3360,0,1680,3360
0.326,2728,0,1123,2728
0.432,2532,0,964,2532
0.538,2532,0,964,2532
0.644,2491,0,964,2491
0.750,2532,0,964,2532
0.855,2532,0,1003,2532
0.961,2572,0,1043,2572
1.067,2572,0,1123,2572
1.173,2491,0,964,2491
1.278,2532,0,1004,2532
1.384,2491,0,964,2491
1.490,2451,0,924,2451
1.596,2491,0,924,2491
1.702,2491,0,964,2491
1.808,2532,0,964,2532
1.914,2491,0,924,2491
2.020,2491,0,924,2491
2.126,2491,0,924,2491
2.232,2451,0,924,2451
2.338,2451,40,884,2451
2.443,2532,40,802,2532
2.550,2451,40,763,2451
2.657,2889,80,1201,2889
2.763,2889,80,1201,2889
2.869,2849,80,1043,2849
2.975,2889,80,1243,2889
3.081,2849,80,1163,2849
3.187,2929,80,1241,2929
3.293,2929,80,1201,2929
3.399,3049,80,1362,3049
3.505,2929,80,1243,2929
3.611,3084,80,1322,3084
3.717,3124,80,1482,3124
3.824,2929,80,1241,2929
3.929,2889,80,1201,2889
4.035,2889,80,1201,2889
4.141,2889,80,1201,2889
4.247,2889,80,1121,2889
4.353,3009,80,1241,3009
4.459,2969,80,1201,2969
4.567,3205,80,1482,3205
4.673,2969,80,1322,2969
4.779,2929,80,1201,2929
4.885,2889,80,1203,2889
4.991,2969,80,1241,2969
5.097,3009,80,1282,3009
5.203,2733,40,1043,2733
5.312,3009,80,1322,3009
5.418,2768,40,1083,2768
5.524,2849,80,1201,2849
5.630,2728,40,1043,2728
5.737,2929,80,1203,2929
5.843,2889,40,1201,2889
5.950,2889,80,1123,2889
6.056,2733,40,1083,2733
6.162,3049,80,1402,3049
6.269,2768,40,1163,2768
6.374,2969,80,1282,2969
6.480,2889,80,1241,2889
6.586,2929,80,1282,2929
6.693,2929,40,1203,2929
6.799,2692,40,1003,2692
6.906,3009,80,1322,3009
7.012,2768,40,1083,2768
7.119,2889,80,1282,2889
7.226,3009,40,1241,3009
7.332,2969,80,1241,2969
7.438,2889,80,1203,2889
7.544,2692,40,963,2692
7.650,2849,80,1203,2849
7.756,2929,80,1282,2929
7.862,2969,80,1282,2969
7.968,2849,80,1201,2849
8.074,2889,40,1241,2889
8.180,2889,80,1163,2889
8.286,2929,80,1241,2929
8.392,2889,80,1203,2889
8.498,2969,80,1282,2969
8.604,2969,80,1282,2969
8.710,2969,80,1241,2969
8.816,2969,80,1282,2969
8.922,2889,40,1201,2889
9.028,2688,80,1003,2688
9.134,2849,80,1123,2849
9.241,2849,80,1163,2849
9.347,2808,80,1163,2808
9.454,2849,80,1201,2849
9.560,2808,80,1163,2808
9.666,2849,80,1163,2849
9.774,2849,80,1241,2849
9.880,2808,40,1163,2808
9.987,2889,80,1241,2889
10.093,2929,80,1282,2929
10.199,2929,80,1201,2929
10.305,2889,160,1083,2889
10.413,2254,281,361,2254
10.520,2612,802,361,2612
10.626,6486,3356,909,6486
10.732,7451,4093,944,7451
10.838,7596,4165,1023,7596
10.944,7635,4211,1023,7635
11.049,7635,4211,1023,7635
11.155,7596,4204,1023,7596
