t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,3205,0,1520,3205
0.112,2572,0,1043,2572
0.218,2572,0,1043,2572
0.324,2652,0,1083,2652
0.430,2532,0,964,2532
0.538,2451,0,963,2451
0.644,2532,0,1004,2532
0.750,2491,0,1004,2491
0.855,2451,0,964,2451
0.961,2451,0,924,2451
1.067,2451,0,924,2451
1.173,2411,0,924,2411
1.279,2451,0,964,2451
1.385,2451,0,924,2451
1.491,2652,0,1043,2652
1.597,2572,0,1003,2572
1.703,2491,0,924,2491
1.809,2491,0,964,2491
1.915,2491,0,884,2491
2.020,2491,0,924,2491
2.126,2451,0,924,2451
2.232,2451,0,924,2451
2.338,2491,40,884,2491
2.444,2612,40,963,2612
2.550,2652,40,1003,2652
2.656,2728,40,1083,2728
2.762,2688,40,1083,2688
2.868,2728,0,1163,2728
2.975,2648,0,1123,2648
3.081,2688,0,1123,2688
3.187,2728,0,1243,2728
3.292,2572,0,1003,2572
3.398,2648,0,1123,2648
3.504,2572,0,1003,2572
3.610,2648,0,1163,2648
3.716,2572,0,1003,2572
3.822,2849,0,1284,2849
3.928,2572,0,1043,2572
4.034,2728,0,1123,2728
4.140,2572,0,1003,2572
4.246,2728,0,1123,2728
4.352,2572,0,1003,2572
4.458,2808,0,1284,2808
4.564,2652,0,1083,2652
4.670,2652,0,1083,2652
4.776,2688,0,1123,2688
4.882,2808,0,1243,2808
4.988,2652,0,1083,2652
5.094,2652,0,1123,2652
5.200,2768,0,1203,2768
5.306,2612,0,1123,2612
5.413,2688,0,1123,2688
5.519,2612,0,1123,2612
5.625,2688,0,1123,2688
5.731,2612,0,1123,2612
5.837,2728,0,1203,2728
5.943,2572,0,1003,2572
6.049,2648,0,1123,2648
6.155,2532,0,1003,2532
6.260,2648,0,1163,2648
6.366,2532,0,1003,2532
6.472,2808,0,1243,2808
6.578,2572,0,1043,2572
6.684,2688,0,1083,2688
6.790,2572,0,1083,2572
6.896,2648,0,1083,2648
7.002,2572,0,1083,2572
7.108,2849,0,1322,2849
7.214,2849,0,1243,2849
7.320,2648,0,1123,2648
7.427,2648,0,1123,2648
7.533,2688,0,1163,2688
7.639,2688,0,1083,2688
7.746,2612,0,1043,2612
7.852,2688,0,1123,2688
7.959,2688,0,1123,2688
8.065,2652,0,1083,2652
8.171,2648,0,1083,2648
8.277,2652,0,1083,2652
8.384,2648,0,1083,2648
8.490,2768,0,1203,2768
8.596,2612,0,1083,2612
8.702,2728,0,1163,2728
8.808,2532,0,1043,2532
8.914,2688,0,1123,2688
9.020,2572,0,1043,2572
9.126,2728,0,1163,2728
9.232,2612,0,1043,2612
9.338,2612,0,1083,2612
9.444,2572,0,1003,2572
9.550,2612,0,1083,2612
9.656,2612,0,1043,2612
9.762,2969,0,1442,2969
9.868,2808,0,1243,2808
9.974,2688,0,1203,2688
10.081,2648,0,1083,2648
10.187,2728,0,1203,2728
10.293,2612,0,1043,2612
10.399,2768,0,1243,2768
10.505,2688,0,1123,2688
10.611,2648,0,1083,2648
10.717,2692,0,1083,2692
10.823,2692,0,1123,2692
10.929,2652,0,1083,2652
11.035,2648,0,1123,2648
11.141,2768,0,1203,2768
11.247,2572,0,1083,2572
11.354,2688,0,1123,2688
11.460,2572,0,1083,2572
11.566,2688,0,1123,2688
11.672,2572,0,1083,2572
11.778,2728,0,1163,2728
11.884,2612,0,1043,2612
11.990,2612,0,1083,2612
12.096,2572,0,1003,2572
12.202,2768,0,1203,2768
12.308,2652,0,1043,2652
12.414,3004,0,1442,3004
12.521,2491,0,842,2491
12.627,2451,0,723,2451
12.733,2411,0,763,2411
12.839,2451,0,844,2451
12.955,1733,40,402,1733
