t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,3325,0,1640,3325
0.112,3365,0,1640,3365
0.218,2768,0,1163,2768
0.324,2532,0,963,2532
0.430,2491,0,963,2491
0.536,2532,0,963,2532
0.641,2491,0,964,2491
0.747,2491,0,964,2491
0.853,2491,0,964,2491
0.959,2451,0,924,2451
1.065,2451,0,924,2451
1.171,2451,0,924,2451
1.277,2451,0,964,2451
1.382,2451,0,924,2451
1.488,2451,0,924,2451
1.594,2491,0,924,2491
1.700,2491,0,922,2491
1.806,2491,0,964,2491
1.913,2491,0,884,2491
2.018,2491,0,924,2491
2.124,2451,0,924,2451
2.230,2451,0,924,2451
2.336,2451,40,884,2451
2.442,2572,40,963,2572
2.548,2612,80,1003,2612
2.653,3084,80,1322,3084
2.759,2889,80,1203,2889
2.865,2808,80,1083,2808
2.981,2929,80,1322,2929
3.087,2849,80,1163,2849
3.193,3009,80,1362,3009
3.299,2889,80,1203,2889
3.405,2929,80,1241,2929
3.511,2889,80,1201,2889
3.617,2889,80,1201,2889
3.724,2889,80,1241,2889
3.829,2849,80,1083,2849
3.935,2929,80,1241,2929
4.041,2889,80,1201,2889
4.147,2808,80,1123,2808
4.253,2969,80,1201,2969
4.360,2929,80,1241,2929
4.466,2808,40,1123,2808
4.572,2728,80,1163,2728
4.679,2808,80,1163,2808
4.785,2849,80,1203,2849
4.891,2889,80,1163,2889
4.996,3009,80,1282,3009
5.102,2768,40,1043,2768
5.209,2929,40,1282,2929
5.315,2849,80,1203,2849
5.421,2929,80,1241,2929
5.527,2889,40,1201,2889
5.633,2692,40,1003,2692
5.739,2849,40,1241,2849
5.844,2969,80,1282,2969
5.950,2808,40,1123,2808
6.056,2733,40,1043,2733
6.162,2808,80,1163,2808
6.268,2849,80,1163,2849
6.374,2728,40,1043,2728
6.480,2929,80,1201,2929
6.586,2849,80,1161,2849
6.693,2849,40,1161,2849
6.799,3009,40,1282,3009
6.905,3560,80,1840,3560
7.011,3049,80,1322,3049
7.117,2849,40,1163,2849
7.223,2889,80,1241,2889
7.329,2929,80,1241,2929
7.435,2969,40,1282,2969
7.541,2929,40,1123,2929
7.647,2889,40,1241,2889
7.756,3009,80,1282,3009
7.863,2969,80,1241,2969
7.971,2929,80,1241,2929
8.078,2849,40,1203,2849
8.185,3245,40,1560,3245
8.295,3560,80,1876,3560
8.401,3600,80,1797,3600
8.513,3365,80,1600,3365
8.619,2808,40,1163,2808
8.725,2808,40,1203,2808
8.830,3009,80,1362,3009
8.938,2768,80,1123,2768
9.043,2688,120,1003,2688
9.149,2808,80,1123,2808
9.256,2889,80,1241,2889
9.362,2849,80,1201,2849
9.469,2849,80,1203,2849
9.576,2808,80,1203,2808
9.682,2889,80,1241,2889
9.789,2768,80,1083,2768
9.896,2889,80,1241,2889
10.002,2969,80,1241,2969
10.110,3009,80,1322,3009
10.217,2929,80,1201,2929
10.324,2889,80,1241,2889
10.431,2929,240,1081,2929
10.539,3009,240,1161,3009
10.645,3089,280,1121,3089
10.752,2969,200,1201,2969
10.858,3009,240,1161,3009
10.963,2969,200,1161,2969
11.069,2969,240,1161,2969
11.174,3084,320,1121,3084
11.280,2929,200,1201,2929
11.385,3044,280,1161,3044
11.492,2969,200,1201,2969
11.598,2929,200,1161,2929
11.703,2969,240,1161,2969
11.809,3009,240,1161,3009
11.914,3084,320,1121,3084
12.020,2929,200,1163,2929
12.126,3009,280,1161,3009
12.232,2969,240,1161,2969
12.337,2889,160,1163,2889
12.444,3124,240,1201,3124
12.550,2929,280,1043,2929
12.656,3089,280,1161,3089
12.761,3009,240,1201,3009
12.867,2929,200,1201,2929
12.973,2969,240,1161,2969
13.079,2969,200,1241,2969
13.185,3084,320,1121,3084
13.290,2929,200,1201,2929
13.396,3049,280,1161,3049
13.502,2929,200,1161,2929
13.607,2929,160,1241,2929
13.713,3049,280,1201,3049
13.819,2969,240,1161,2969
13.924,3089,280,1161,3089
14.030,2929,200,1163,2929
14.136,3009,240,1161,3009
14.241,3009,200,1201,3009
14.347,2929,200,1201,2929
14.453,3124,320,1161,3124
14.559,2969,200,1241,2969
14.664,3089,280,1161,3089
14.770,3009,200,1201,3009
14.876,2969,200,1201,2969
14.982,3009,240,1201,3009
15.087,2969,200,1201,2969
15.193,3124,320,1161,3124
15.299,2969,200,1241,2969
15.405,3044,240,1161,3044
15.510,2969,240,1201,2969
15.616,2969,200,1201,2969
15.722,3084,280,1201,3084
15.828,2969,240,1161,2969
15.934,3084,280,1161,3084
16.039,3009,200,1201,3009
16.145,3009,240,1201,3009
16.251,3009,200,1201,3009
16.356,3009,240,1201,3009
16.462,3124,320,1161,3124
16.568,2969,200,1241,2969
16.673,3089,280,1161,3089
16.780,3009,240,1201,3009
16.886,2969,160,1241,2969
16.992,3044,240,1282,3044
17.098,3084,280,1201,3084
17.203,3165,320,1201,3165
17.309,3009,200,1241,3009
17.415,3049,240,1201,3049
17.520,2969,200,1201,2969
17.626,2929,160,1241,2929
17.732,3089,280,1161,3089
17.837,2969,240,1161,2969
17.944,3089,320,1161,3089
18.049,3009,200,1201,3009
18.155,3009,240,1201,3009
18.261,3009,200,1201,3009
18.367,2929,200,1201,2929
18.472,3124,320,1161,3124
18.578,2969,200,1241,2969
18.684,3089,280,1161,3089
18.790,3049,240,1201,3049
18.895,2929,160,1203,2929
19.001,3049,240,1201,3049
19.107,2969,200,1161,2969
19.212,3089,320,1161,3089
19.319,3009,200,1241,3009
19.425,3084,240,1201,3084
19.530,3089,200,1282,3089
19.636,2969,200,1201,2969
19.742,3165,320,1161,3165
19.848,2969,200,1241,2969
19.953,3089,280,1161,3089
20.060,3009,240,1201,3009
20.165,2969,200,1241,2969
20.271,3009,240,1201,3009
20.377,3009,200,1201,3009
20.482,3124,320,1161,3124
20.588,2969,200,1241,2969
20.694,3049,280,1201,3049
20.799,2969,240,1201,2969
20.905,2969,200,1201,2969
21.011,3089,280,1201,3089
21.116,2969,240,1161,2969
21.222,3084,280,1161,3084
21.327,2969,200,1241,2969
21.433,3009,240,1201,3009
21.539,3009,200,1201,3009
21.645,3009,240,1201,3009
21.750,3165,320,1161,3165
21.857,3089,200,1282,3089
21.962,3049,280,1161,3049
22.068,3049,240,1241,3049
22.174,3009,160,1282,3009
22.279,3089,240,1201,3089
22.385,3049,280,1161,3049
22.491,3089,321,1161,3089
22.596,2969,200,1201,2969
22.702,3009,240,1161,3009
22.808,3009,200,1201,3009
22.913,2969,200,1241,2969
23.019,3170,320,1161,3170
23.125,2969,200,1241,2969
23.231,3084,280,1161,3084
23.336,3009,240,1201,3009
23.442,2929,160,1201,2929
23.547,3049,240,1201,3049
23.653,2969,200,1201,2969
23.759,3089,320,1121,3089
23.865,2969,200,1201,2969
23.970,3089,280,1161,3089
24.076,3009,240,1201,3009
24.182,2929,160,1201,2929
24.287,3044,240,1161,3044
24.393,3009,240,1201,3009
24.499,3129,320,1161,3129
24.605,2969,200,1201,2969
24.711,2688,160,842,2688
24.817,2532,40,763,2532
24.923,2451,40,723,2451
25.029,2532,40,882,2532
25.135,2491,40,882,2491
25.241,2612,0,1043,2612
25.347,2612,0,1043,2612
25.453,2768,40,963,2768
