t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.007,2411,0,884,2411
0.113,2768,0,1043,2768
0.219,2929,0,1362,2929
0.325,2969,0,1402,2969
0.431,2969,0,1442,2969
0.537,2969,0,1442,2969
0.643,2969,0,1442,2969
0.749,2969,0,1442,2969
0.855,2969,0,1442,2969
0.961,2969,0,1442,2969
1.067,2969,0,1442,2969
1.173,2969,0,1442,2969
1.279,3084,0,1602,3084
1.384,3009,0,1482,3009
1.490,3044,0,1522,3044
1.596,2969,0,1442,2969
1.702,3009,0,1482,3009
1.808,2969,0,1442,2969
1.914,2969,0,1442,2969
2.020,2969,0,1442,2969
2.126,2969,0,1402,2969
2.232,2969,0,1442,2969
2.337,2969,0,1442,2969
2.443,2969,0,1442,2969
2.549,2969,0,1442,2969
2.655,2969,0,1442,2969
2.761,2969,0,1442,2969
2.867,3009,0,1522,3009
2.973,2969,0,1442,2969
3.079,3009,0,1442,3009
3.185,2969,0,1442,2969
3.291,2969,0,1442,2969
3.397,2969,0,1442,2969
3.503,2969,0,1442,2969
3.609,2969,0,1442,2969
3.715,2969,0,1442,2969
3.821,2969,0,1442,2969
3.927,2969,0,1442,2969
4.033,2969,0,1442,2969
4.139,2969,0,1442,2969
4.245,2969,0,1442,2969
4.350,2969,0,1442,2969
4.456,2969,0,1442,2969
4.562,2969,0,1442,2969
4.668,2969,0,1442,2969
4.774,2969,0,1442,2969
4.880,2969,0,1442,2969
4.986,2969,0,1442,2969
5.092,2969,0,1442,2969
5.198,2969,0,1442,2969
5.304,2969,0,1442,2969
5.410,2969,0,1442,2969
5.515,2969,0,1442,2969
5.621,3044,0,1482,3044
5.727,3124,0,1562,3124
5.833,2969,0,1442,2969
5.939,3009,0,1482,3009
6.045,3004,0,1482,3004
6.151,2969,0,1442,2969
6.257,2969,0,1442,2969
6.363,2969,0,1442,2969
6.469,2969,0,1442,2969
6.575,2969,0,1442,2969
6.681,2808,0,1364,2808
6.786,2969,0,1442,2969
6.892,2969,0,1442,2969
6.998,2969,0,1442,2969
7.104,2969,0,1442,2969
7.210,2969,0,1442,2969
7.316,2969,0,1442,2969
7.422,2969,0,1442,2969
7.528,2969,0,1442,2969
7.634,2969,0,1442,2969
7.740,2969,0,1442,2969
7.846,2969,0,1442,2969
7.951,2969,0,1442,2969
8.057,2969,0,1442,2969
8.163,3009,0,1482,3009
8.269,3049,0,1482,3049
8.375,3124,0,1602,3124
8.481,2969,0,1442,2969
8.587,2969,0,1442,2969
8.693,2969,0,1442,2969
8.799,2969,0,1442,2969
8.905,2969,0,1442,2969
9.011,2969,0,1442,2969
9.117,2969,0,1442,2969
9.222,2969,0,1442,2969
9.328,2969,0,1442,2969
9.434,2969,0,1442,2969
9.540,2969,0,1442,2969
9.646,2969,0,1442,2969
9.752,2969,0,1442,2969
9.858,2969,0,1442,2969
9.964,2969,0,1442,2969
10.070,3165,0,1602,3165
10.176,3009,0,1442,3009
10.282,2969,0,1442,2969
10.387,2969,0,1442,2969
10.493,2969,0,1442,2969
10.599,3044,0,1522,3044
10.705,3009,0,1442,3009
10.811,2969,0,1442,2969
10.917,2969,0,1442,2969
11.023,2969,0,1442,2969
11.129,2969,0,1442,2969
11.235,2969,0,1442,2969
11.341,2969,0,1442,2969
11.447,2969,0,1442,2969
11.553,2969,0,1442,2969
11.658,2969,0,1442,2969
11.764,2969,0,1442,2969
11.870,2969,0,1442,2969
11.976,2969,0,1442,2969
12.082,2969,0,1442,2969
12.188,2969,0,1442,2969
12.294,2969,0,1442,2969
12.400,2969,0,1442,2969
12.506,2969,0,1442,2969
12.612,3049,0,1562,3049
12.718,3009,0,1482,3009
12.823,3044,0,1522,3044
12.929,2969,0,1442,2969
13.035,3009,0,1442,3009
13.141,2969,0,1442,2969
13.247,2969,0,1442,2969
13.353,2969,0,1442,2969
13.459,2969,0,1442,2969
13.565,2969,0,1442,2969
13.671,2969,0,1442,2969
13.777,2969,0,1442,2969
13.882,2969,0,1442,2969
13.988,2969,0,1442,2969
14.094,2969,0,1442,2969
14.200,2969,0,1442,2969
14.306,2969,0,1442,2969
14.412,2969,0,1442,2969
14.518,2969,0,1442,2969
14.624,2969,0,1442,2969
14.730,2969,0,1442,2969
14.836,2969,0,1442,2969
14.942,2969,0,1442,2969
