t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,3205,0,1522,3205
0.112,2808,0,1123,2808
0.219,2929,0,1362,2929
0.324,2929,0,1362,2929
0.431,2929,0,1362,2929
0.537,2929,0,1362,2929
0.643,3165,0,1482,3165
0.749,3245,0,1400,3245
0.855,3285,0,1400,3285
0.960,3285,0,1440,3285
1.066,3440,0,1520,3440
1.172,3285,0,1440,3285
1.279,3084,0,1402,3084
1.385,3009,0,1442,3009
1.491,2969,0,1362,2969
1.597,2929,0,1402,2929
1.703,2929,0,1402,2929
1.809,2929,0,1402,2929
1.915,2929,0,1362,2929
2.021,2929,0,1402,2929
2.128,2889,0,1362,2889
2.234,2929,0,1402,2929
2.340,2929,0,1362,2929
2.446,2929,0,1402,2929
2.552,2889,0,1362,2889
2.658,2929,0,1402,2929
2.764,2929,0,1362,2929
2.870,2929,0,1402,2929
2.976,2929,0,1362,2929
3.082,2929,0,1402,2929
3.188,2929,0,1362,2929
3.294,2929,0,1362,2929
3.400,2929,0,1402,2929
3.506,2929,0,1442,2929
3.613,3084,0,1562,3084
3.719,3084,0,1522,3084
3.825,2969,0,1402,2969
3.931,2929,0,1402,2929
4.037,2929,0,1402,2929
4.143,2929,0,1402,2929
4.249,2929,0,1402,2929
4.355,2929,0,1402,2929
4.461,2929,0,1402,2929
4.567,2929,0,1362,2929
4.672,2929,0,1362,2929
4.779,2929,0,1362,2929
4.885,2929,0,1362,2929
4.991,2929,0,1362,2929
5.096,2889,0,1402,2889
5.202,2929,0,1402,2929
5.308,2929,0,1362,2929
5.415,2929,0,1362,2929
5.520,2929,0,1362,2929
5.626,2969,0,1402,2969
5.732,2929,0,1362,2929
5.839,2929,0,1404,2929
5.945,2929,0,1362,2929
6.051,2929,0,1402,2929
6.157,2929,0,1362,2929
6.263,2929,0,1402,2929
6.369,2929,0,1362,2929
6.475,2929,0,1402,2929
6.581,2929,0,1362,2929
6.687,2929,0,1402,2929
6.793,2929,0,1402,2929
6.899,2929,0,1402,2929
7.005,2929,0,1362,2929
7.111,2929,0,1402,2929
7.217,2929,0,1362,2929
7.323,2929,0,1402,2929
7.429,2929,0,1362,2929
7.535,2929,0,1402,2929
7.641,2929,0,1362,2929
7.747,2929,0,1362,2929
7.854,2929,0,1362,2929
7.960,3165,0,1562,3165
8.065,2969,0,1402,2969
8.172,3009,0,1442,3009
8.278,3009,0,1442,3009
8.384,3009,0,1402,3009
8.490,2969,0,1402,2969
8.596,2929,0,1362,2929
8.702,2929,0,1402,2929
8.808,2929,0,1362,2929
8.914,2929,0,1402,2929
9.023,2889,0,1362,2889
9.129,2929,0,1402,2929
9.235,2929,0,1362,2929
9.341,2929,0,1402,2929
9.448,2929,0,1362,2929
9.554,2929,0,1402,2929
9.660,2929,0,1362,2929
9.766,2929,0,1402,2929
9.872,2929,0,1362,2929
9.978,2929,0,1402,2929
10.084,2929,0,1402,2929
10.190,2969,0,1442,2969
10.296,2929,0,1402,2929
10.402,2969,0,1402,2969
10.508,3009,0,1442,3009
10.614,3124,0,1562,3124
10.720,2969,0,1402,2969
10.826,2969,0,1402,2969
10.932,2969,0,1402,2969
11.038,2889,0,1322,2889
11.144,2929,0,1362,2929
11.250,2929,0,1402,2929
11.356,2929,0,1362,2929
11.462,2929,0,1402,2929
11.567,2929,0,1362,2929
11.673,2929,0,1402,2929
11.779,2929,0,1362,2929
11.885,2929,0,1402,2929
11.991,2929,0,1362,2929
12.097,2929,0,1402,2929
12.203,2929,0,1362,2929
12.309,2929,0,1402,2929
12.416,2929,0,1362,2929
12.522,2929,0,1402,2929
12.628,2929,0,1362,2929
12.734,2929,0,1402,2929
12.840,2929,0,1362,2929
12.946,3165,0,1602,3165
13.052,2969,0,1402,2969
13.158,3049,0,1442,3049
13.264,2969,0,1442,2969
13.370,2969,0,1402,2969
13.476,2929,0,1402,2929
13.582,2929,0,1362,2929
13.688,2929,0,1362,2929
13.794,2929,0,1362,2929
13.900,2929,0,1362,2929
14.006,2929,0,1362,2929
14.112,2929,0,1362,2929
14.219,2929,0,1362,2929
14.325,2929,0,1402,2929
14.431,2929,0,1362,2929
14.537,2929,0,1402,2929
14.643,2889,0,1362,2889
14.749,2929,0,1362,2929
14.855,2929,0,1402,2929
14.961,2929,0,1362,2929
15.067,3084,0,1482,3084
15.173,3084,0,1522,3084
15.279,3044,0,1482,3044
15.385,3009,0,1402,3009
15.491,3049,0,1482,3049
15.597,3009,0,1482,3009
15.703,3049,0,1482,3049
15.809,2969,0,1442,2969
15.914,2929,0,1402,2929
16.020,2929,0,1402,2929
16.127,2929,0,1402,2929
16.233,2929,0,1402,2929
16.339,2929,0,1362,2929
16.445,2929,0,1362,2929
16.551,2929,0,1362,2929
16.657,2929,0,1362,2929
16.763,2929,0,1362,2929
16.869,2929,0,1402,2929
16.975,2929,0,1362,2929
17.081,2929,0,1402,2929
17.187,2929,0,1402,2929
17.293,2929,0,1362,2929
17.399,2929,0,1402,2929
17.505,2929,0,1402,2929
17.611,2929,0,1362,2929
17.717,2969,0,1402,2969
17.822,2929,0,1402,2929
17.928,2929,0,1402,2929
18.034,2929,0,1362,2929
18.140,2929,0,1402,2929
18.247,2929,0,1402,2929
18.352,2929,0,1402,2929
18.459,2969,0,1402,2969
18.565,2929,0,1402,2929
18.671,2929,0,1402,2929
18.776,2929,0,1402,2929
18.882,2929,0,1402,2929
18.989,2849,0,1324,2849
19.095,2929,0,1362,2929
19.201,2929,0,1362,2929
19.307,2929,0,1402,2929
19.413,2929,0,1362,2929
19.519,2929,0,1362,2929
19.625,2929,0,1362,2929
19.731,2929,0,1402,2929
19.837,2969,0,1402,2969
19.943,3009,0,1442,3009
20.049,3084,0,1522,3084
20.155,2929,0,1442,2929
20.261,2929,0,1402,2929
20.367,2969,0,1362,2969
20.473,2929,0,1402,2929
20.579,2929,0,1362,2929
20.685,2929,0,1402,2929
20.791,2929,0,1362,2929
20.897,2929,0,1402,2929
