t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2371,0,884,2371
0.113,2728,0,1043,2728
0.219,2929,0,1362,2929
0.325,2929,0,1402,2929
0.431,2929,0,1402,2929
0.537,2929,0,1402,2929
0.643,2929,0,1402,2929
0.749,2929,0,1442,2929
0.855,2929,0,1402,2929
0.961,2929,0,1442,2929
1.066,2969,0,1442,2969
1.172,3049,0,1482,3049
1.278,3124,0,1602,3124
1.384,2969,0,1442,2969
1.490,3009,0,1442,3009
1.596,2929,0,1442,2929
1.702,2929,0,1402,2929
1.808,2929,0,1442,2929
1.914,2969,0,1442,2969
2.020,2929,0,1442,2929
2.126,2929,0,1402,2929
2.232,2969,0,1442,2969
2.337,2929,0,1442,2929
2.443,2929,0,1402,2929
2.549,2929,0,1402,2929
2.655,2929,0,1442,2929
2.761,2969,0,1402,2969
2.867,2929,0,1402,2929
2.973,2969,0,1442,2969
3.079,2969,0,1442,2969
3.185,2929,0,1402,2929
3.291,2929,0,1442,2929
3.397,2929,0,1402,2929
3.503,2969,0,1442,2969
3.609,3165,0,1602,3165
3.714,2969,0,1442,2969
3.820,3009,0,1482,3009
3.926,2969,0,1482,2969
4.032,2969,0,1442,2969
4.138,2929,0,1402,2929
4.244,2929,0,1402,2929
4.350,2969,0,1442,2969
4.456,2929,0,1442,2929
4.562,2929,0,1402,2929
4.668,2929,0,1402,2929
4.774,2929,0,1442,2929
4.880,2929,0,1402,2929
4.985,2929,0,1402,2929
5.091,2929,0,1402,2929
5.197,2969,0,1402,2969
5.303,3009,0,1442,3009
5.409,2929,0,1402,2929
5.515,2929,0,1402,2929
5.621,2929,0,1402,2929
5.727,2929,0,1402,2929
5.833,2929,0,1402,2929
5.939,2969,0,1442,2969
6.045,2969,0,1442,2969
6.151,3049,0,1522,3049
6.257,3004,0,1522,3004
6.363,2969,0,1442,2969
6.469,2969,0,1442,2969
6.575,2969,0,1442,2969
6.681,2929,0,1402,2929
6.787,2929,0,1402,2929
6.893,3049,0,1522,3049
6.999,2969,0,1442,2969
7.105,2929,0,1402,2929
7.211,2929,0,1402,2929
7.317,2929,0,1442,2929
7.423,2929,0,1442,2929
7.529,2929,0,1402,2929
7.635,2929,0,1442,2929
7.741,2929,0,1442,2929
7.847,2929,0,1402,2929
7.953,2929,0,1402,2929
8.059,2969,0,1442,2969
8.165,2969,0,1402,2969
8.270,2929,0,1402,2929
8.376,2929,0,1402,2929
8.482,2969,0,1442,2969
8.588,3084,0,1562,3084
8.694,2969,0,1442,2969
8.800,3049,0,1522,3049
8.906,2969,0,1442,2969
9.012,3009,0,1442,3009
9.118,2929,0,1402,2929
9.224,2929,0,1402,2929
9.330,2969,0,1442,2969
9.436,2969,0,1402,2969
9.542,2929,0,1402,2929
9.648,2929,0,1402,2929
9.754,2969,0,1402,2969
9.860,2929,0,1442,2929
9.966,2929,0,1402,2929
10.071,2929,0,1402,2929
10.177,2969,0,1442,2969
10.283,2929,0,1402,2929
10.389,2929,0,1402,2929
10.495,2929,0,1402,2929
10.601,2929,0,1442,2929
10.707,2929,0,1442,2929
10.813,2929,0,1402,2929
10.919,2929,0,1402,2929
11.025,2969,0,1442,2969
11.131,2929,0,1442,2929
11.236,3009,0,1442,3009
11.342,2969,0,1442,2969
11.448,2969,0,1442,2969
11.554,2929,0,1402,2929
11.660,2929,0,1402,2929
11.766,2929,0,1442,2929
11.872,2929,0,1402,2929
11.978,2929,0,1442,2929
12.084,2929,0,1442,2929
12.190,2929,0,1402,2929
12.296,2929,0,1402,2929
12.402,2929,0,1402,2929
12.508,2929,0,1402,2929
12.614,2969,0,1442,2969
12.720,2929,0,1442,2929
12.825,2929,0,1402,2929
12.931,3009,0,1442,3009
13.037,3124,0,1562,3124
13.143,2969,0,1442,2969
13.249,3009,0,1482,3009
13.355,3009,0,1482,3009
13.461,2969,0,1442,2969
13.567,2969,0,1442,2969
13.673,2929,0,1402,2929
13.778,2929,0,1402,2929
13.884,2929,0,1442,2929
13.990,2929,0,1442,2929
14.096,2929,0,1402,2929
14.202,2929,0,1402,2929
14.308,2969,0,1442,2969
14.414,2929,0,1442,2929
14.520,2929,0,1442,2929
14.626,2929,0,1402,2929
14.732,2929,0,1442,2929
14.838,2969,0,1442,2969
14.944,2929,0,1402,2929
15.050,2929,0,1442,2929
15.155,2969,0,1442,2969
15.261,2969,0,1442,2969
15.367,2929,0,1402,2929
15.473,2969,0,1442,2969
15.579,3009,0,1482,3009
15.685,3084,0,1562,3084
15.791,2969,0,1442,2969
15.897,2969,0,1442,2969
16.003,2969,0,1442,2969
16.109,2929,0,1442,2929
16.215,2969,0,1442,2969
16.321,2929,0,1402,2929
16.427,2929,0,1442,2929
16.533,2969,0,1442,2969
16.639,2929,0,1402,2929
16.745,2929,0,1442,2929
16.851,2969,0,1442,2969
16.957,2929,0,1442,2929
17.063,2929,0,1442,2929
17.169,2929,0,1402,2929
17.274,2929,0,1442,2929
17.380,2969,0,1442,2969
17.486,2929,0,1442,2929
17.592,2929,0,1402,2929
17.698,2969,0,1442,2969
17.804,2929,0,1442,2929
17.910,2929,0,1402,2929
18.016,2929,0,1442,2929
18.122,2969,0,1442,2969
18.228,2929,0,1442,2929
18.334,2969,0,1402,2969
18.440,2969,0,1442,2969
18.546,2929,0,1442,2929
18.652,2969,0,1442,2969
18.757,2929,0,1402,2929
18.863,2969,0,1402,2969
18.969,2969,0,1402,2969
19.075,2929,0,1442,2929
19.181,2929,0,1402,2929
19.287,2969,0,1402,2969
19.393,2969,0,1442,2969
19.499,2969,0,1402,2969
19.605,2929,0,1402,2929
19.711,2969,0,1442,2969
19.817,2969,0,1442,2969
19.922,3124,0,1602,3124
20.028,2969,0,1442,2969
20.134,3044,0,1522,3044
20.240,2969,0,1442,2969
20.346,3009,0,1442,3009
20.452,2929,0,1402,2929
20.558,2969,0,1442,2969
20.664,2929,0,1442,2929
20.770,2929,0,1402,2929
20.876,2929,0,1402,2929
20.981,2969,0,1442,2969
21.087,2929,0,1442,2929
21.193,2929,0,1402,2929
21.299,2929,0,1402,2929
21.405,2969,0,1482,2969
21.511,2929,0,1442,2929
21.617,2929,0,1442,2929
21.723,2929,0,1402,2929
21.829,2929,0,1442,2929
21.935,2929,0,1402,2929
