t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2648,40,922,2648
0.112,2572,40,842,2572
0.217,4033,39,2316,4033
0.323,4193,0,2472,4193
0.428,4425,0,2751,4425
0.533,4505,0,2786,4505
0.639,4505,0,2786,4505
0.744,4465,0,2830,4465
0.850,4505,0,2786,4505
0.955,2849,0,1243,2849
1.061,2612,0,1043,2612
1.167,2532,0,964,2532
1.273,3440,0,1920,3440
1.378,4153,0,2591,4153
1.484,4233,0,2671,4233
1.590,4233,0,2671,4233
1.695,4273,0,2711,4273
1.801,4233,0,2671,4233
1.906,4233,0,2631,4233
2.012,4273,0,2591,4273
2.117,4313,0,2591,4313
2.223,4273,0,2631,4273
2.328,4233,0,2631,4233
2.434,4273,0,2551,4273
2.539,4193,0,2511,4193
2.645,4233,0,2591,4233
2.750,4233,0,2631,4233
2.856,4233,39,2591,4233
2.961,4353,39,2671,4353
3.067,4545,39,2587,4545
3.173,5285,39,3491,5285
3.278,5603,39,3729,5603
3.384,5674,39,3769,5674
3.490,5564,0,3769,5564
3.595,5405,0,3650,5405
3.701,5285,0,3610,5285
3.807,5254,0,3537,5254
3.912,5214,0,3537,5214
4.018,5254,0,3537,5254
4.124,5405,0,3690,5405
4.230,5524,0,3809,5524
4.336,5524,0,3809,5524
4.441,5484,0,3729,5484
4.547,5484,0,3729,5484
4.653,5484,0,3769,5484
4.759,5254,0,3576,5254
4.864,5294,0,3576,5294
4.970,5405,0,3696,5405
5.076,5254,0,3537,5254
5.181,5405,0,3656,5405
5.287,5405,0,3729,5405
5.393,5325,0,3576,5325
5.498,5365,0,3656,5365
5.604,5405,0,3696,5405
5.710,5254,0,3576,5254
5.816,5254,0,3537,5254
5.921,5294,0,3576,5294
6.027,5444,0,3729,5444
6.133,5444,0,3729,5444
6.238,5405,0,3690,5405
6.344,5484,0,3729,5484
6.450,5365,0,3616,5365
6.556,5334,0,3616,5334
6.662,5325,0,3616,5325
6.767,5254,0,3537,5254
6.873,5374,0,3650,5374
6.979,5365,0,3656,5365
7.085,5334,0,3616,5334
7.191,5325,0,3616,5325
7.296,5444,0,3690,5444
7.402,5444,0,3729,5444
7.508,5484,0,3809,5484
7.614,5484,0,3809,5484
7.719,5294,0,3537,5294
7.825,5294,0,3576,5294
7.931,5334,0,3616,5334
8.036,5294,0,3576,5294
8.142,5254,0,3576,5254
8.248,5285,0,3576,5285
8.354,5334,0,3616,5334
8.459,5365,0,3656,5365
8.565,5325,0,3576,5325
8.671,5484,0,3769,5484
8.777,5484,0,3729,5484
8.882,5524,0,3769,5524
8.988,5484,0,3729,5484
9.094,5524,0,3809,5524
9.200,5524,0,3769,5524
9.305,5405,0,3650,5405
9.411,5444,0,3690,5444
9.517,5444,0,3729,5444
9.622,5294,0,3537,5294
9.728,5325,0,3576,5325
9.834,5405,0,3690,5405
9.940,5325,0,3616,5325
10.045,5365,0,3656,5365
10.151,5405,0,3656,5405
10.257,5365,0,3616,5365
10.363,5405,0,3650,5405
10.468,5444,0,3729,5444
10.574,5254,0,3576,5254
10.680,5294,0,3537,5294
10.786,5334,0,3616,5334
10.891,5334,0,3576,5334
10.997,5405,0,3696,5405
11.102,5524,0,3729,5524
11.208,5484,0,3769,5484
11.314,5405,0,3656,5405
11.419,5405,0,3656,5405
11.525,5405,0,3650,5405
11.630,5444,0,3690,5444
11.736,5405,0,3656,5405
11.841,5405,0,3650,5405
11.947,5325,0,3616,5325
12.053,5484,0,3769,5484
12.158,5484,0,3729,5484
12.264,5484,0,3729,5484
12.370,5524,0,3769,5524
12.475,5254,0,3576,5254
12.581,5254,0,3537,5254
12.687,5294,0,3576,5294
12.793,5325,0,3616,5325
12.899,5365,0,3656,5365
13.005,5365,0,3696,5365
13.110,5325,0,3610,5325
13.216,5365,0,3656,5365
13.321,5405,0,3656,5405
13.427,5325,0,3656,5325
13.533,5365,0,3616,5365
13.639,5405,0,3650,5405
13.745,5365,0,3616,5365
13.850,5484,0,3729,5484
13.956,5365,0,3650,5365
14.062,5325,0,3656,5325
14.168,5175,0,3457,5175
14.274,5365,0,3616,5365
14.379,5405,0,3656,5405
14.485,5524,0,3769,5524
14.591,5444,0,3696,5444
14.696,5254,0,3497,5254
14.802,5325,0,3616,5325
14.908,5444,0,3729,5444
15.014,5484,0,3729,5484
15.119,5365,0,3656,5365
15.225,5294,0,3576,5294
15.331,5365,0,3656,5365
15.437,5444,0,3729,5444
15.542,5444,0,3769,5444
15.648,5524,0,3769,5524
15.754,5524,0,3809,5524
15.860,5405,0,3696,5405
15.966,5405,0,3690,5405
16.071,5294,0,3616,5294
16.177,5374,0,3650,5374
16.283,5524,0,3809,5524
16.389,5444,0,3729,5444
16.495,5524,0,3769,5524
16.600,5564,0,3809,5564
16.706,5405,0,3690,5405
16.812,5365,0,3616,5365
16.917,5564,0,3769,5564
17.023,5405,0,3690,5405
17.129,5524,0,3769,5524
17.235,5524,0,3809,5524
17.343,5405,0,3656,5405
17.449,5444,0,3690,5444
17.555,5484,0,3729,5484
17.660,5484,0,3769,5484
17.766,5484,0,3769,5484
17.872,5484,0,3729,5484
17.978,5484,0,3769,5484
18.084,5484,0,3769,5484
18.190,5484,0,3809,5484
18.295,5564,0,3848,5564
18.401,5524,0,3809,5524
18.507,5564,0,3848,5564
18.613,5564,0,3848,5564
18.719,5285,0,3576,5285
18.825,5285,0,3576,5285
18.931,5365,0,3656,5365
19.036,5285,0,3616,5285
19.142,5325,0,3650,5325
19.248,5484,0,3769,5484
19.354,5524,0,3769,5524
19.460,5484,0,3735,5484
