t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2688,40,1043,2688
0.111,3084,40,1482,3084
0.217,4226,39,2591,4226
0.322,4425,39,2826,4425
0.428,4425,39,2826,4425
0.533,4425,0,2866,4425
0.639,4425,0,2830,4425
0.744,3405,0,1760,3405
0.850,2652,0,1083,2652
0.956,2532,0,1003,2532
1.062,2532,0,1003,2532
1.168,4073,0,2511,4073
1.273,4266,0,2706,4266
1.379,4306,0,2746,4306
1.484,4306,0,2746,4306
1.590,4306,0,2746,4306
1.695,4306,0,2706,4306
1.801,4306,0,2706,4306
1.907,4346,0,2746,4346
2.012,4346,0,2711,4346
2.117,4346,0,2751,4346
2.223,4385,0,2711,4385
2.329,4346,0,2711,4346
2.434,4306,0,2711,4306
2.540,4313,0,2711,4313
2.645,4313,39,2671,4313
2.751,4465,39,2786,4465
2.856,4625,79,2905,4625
2.962,4704,119,3025,4704
3.067,4585,119,2826,4585
3.173,4625,119,2866,4625
3.278,4585,119,2746,4585
3.384,4625,119,2826,4625
3.490,4545,119,2746,4545
3.595,4704,119,2786,4704
3.701,4665,79,2866,4665
3.806,4545,79,2786,4545
3.912,4505,119,2706,4505
4.018,4625,119,2786,4625
4.123,4665,79,2826,4665
4.229,4665,79,2826,4665
4.334,4505,119,2706,4505
4.440,4625,119,2786,4625
4.545,4625,79,2866,4625
4.651,4465,79,2746,4465
4.756,4465,79,2746,4465
4.862,4425,79,2711,4425
4.968,4585,79,2786,4585
5.079,4465,79,2746,4465
5.185,4545,79,2786,4545
5.290,4465,39,2746,4465
5.396,4385,79,2671,4385
5.501,4306,119,2631,4306
5.607,4425,39,2711,4425
5.713,4425,79,2751,4425
5.823,4425,79,2746,4425
5.929,4465,79,2746,4465
6.035,4545,79,2786,4545
6.142,4665,79,2905,4665
6.247,4625,39,2905,4625
6.354,4545,79,2786,4545
6.460,4545,79,2786,4545
6.567,4505,79,2786,4505
6.672,4505,79,2746,4505
6.778,4585,79,2786,4585
6.883,4585,39,2866,4585
6.989,4545,79,2746,4545
7.095,4545,79,2746,4545
7.200,4545,79,2786,4545
7.306,4505,79,2786,4505
7.412,4625,79,2866,4625
7.518,4545,79,2786,4545
7.623,4545,39,2746,4545
7.729,4625,79,2826,4625
7.835,4545,79,2786,4545
7.941,4665,39,2945,4665
8.046,4385,79,2711,4385
8.152,4545,79,2786,4545
8.258,4625,79,2826,4625
8.364,4545,79,2786,4545
8.470,4505,79,2786,4505
8.575,4545,39,2826,4545
8.681,4465,79,2706,4465
8.787,4505,79,2746,4505
8.892,4625,39,2905,4625
8.998,4465,79,2746,4465
9.104,4505,79,2746,4505
9.210,4545,79,2746,4545
9.315,4505,79,2746,4505
9.421,4465,119,2627,4465
9.527,4465,119,2711,4465
9.633,4505,79,2746,4505
9.739,4465,79,2706,4465
9.844,4465,79,2746,4465
9.950,4465,79,2751,4465
10.056,4505,79,2746,4505
10.161,4465,79,2786,4465
10.267,4465,119,2706,4465
10.373,4505,79,2746,4505
10.479,4505,79,2786,4505
10.585,4545,159,2746,4545
10.698,5444,1150,2341,5444
10.805,8330,3413,2589,8330
10.911,9258,4151,2663,9258
11.017,9321,4230,2619,9321
11.123,9361,4230,2619,9361
11.228,9361,4223,2619,9361
11.334,9400,4223,2659,9400
11.440,9400,4223,2624,9400
11.546,9400,4230,2619,9400
11.653,9400,4262,2659,9400
11.759,9439,4223,2659,9439
11.866,9361,4262,2659,9361
11.972,9361,4269,2659,9361
12.078,9400,4230,2659,9400
12.184,9361,4262,2663,9361
12.289,9361,4262,2663,9361
12.395,9400,4262,2663,9400
12.501,9400,4262,2659,9400
12.606,9361,4262,2659,9361
12.712,9400,4262,2659,9400
12.817,9400,4262,2659,9400
12.923,9400,4269,2659,9400
13.029,9361,4269,2659,9361
13.135,9361,4269,2659,9361
13.241,9439,4269,2698,9439
13.347,9400,4269,2698,9400
13.453,9361,4262,2659,9361
13.559,9400,4269,2659,9400
13.665,9400,4230,2624,9400
13.771,9400,4230,2659,9400
13.877,9400,4269,2659,9400
13.983,9439,4230,2659,9439
14.088,9439,4223,2659,9439
