t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,3360,0,1640,3360
0.111,2768,0,1123,2768
0.230,1491,0,241,1491
0.345,1090,0,121,1090
0.466,1009,0,121,1009
0.584,1009,0,121,1009
0.704,1009,0,121,1009
0.825,1009,0,121,1009
0.942,1009,0,121,1009
1.062,1171,0,161,1171
1.181,1049,0,121,1049
1.298,1009,0,121,1009
1.417,1009,0,121,1009
1.537,1009,0,121,1009
1.656,1049,0,121,1049
1.773,1009,0,121,1009
1.893,1009,0,121,1009
2.010,1171,0,161,1171
2.129,1130,0,161,1130
2.241,1532,0,322,1532
2.359,1130,0,121,1130
2.473,1532,0,201,1532
2.587,1130,0,161,1130
2.704,1090,0,161,1090
2.819,1653,0,161,1653
2.937,1090,0,121,1090
3.057,1049,0,121,1049
3.177,1049,0,121,1049
3.299,1009,0,121,1009
3.417,1009,0,121,1009
3.536,1009,0,121,1009
3.654,1009,0,121,1009
3.774,1009,0,121,1009
3.895,1009,0,121,1009
4.015,1009,0,121,1009
4.136,1009,0,121,1009
4.258,1009,0,121,1009
4.365,1451,0,362,1451
4.481,1211,0,161,1211
4.603,1049,0,121,1049
4.721,1009,0,121,1009
4.838,1009,0,121,1009
4.959,1049,0,121,1049
5.081,1009,0,121,1009
5.203,1009,0,121,1009
5.325,1009,0,80,1009
5.447,1009,0,121,1009
5.567,1009,0,121,1009
5.689,1009,0,121,1009
5.806,1009,0,121,1009
5.922,1009,0,121,1009
6.041,1049,0,121,1049
6.161,1049,0,121,1049
6.278,1009,0,121,1009
6.397,1009,0,121,1009
6.514,1009,0,121,1009
6.630,1049,0,161,1049
6.736,1491,0,403,1491
6.865,1171,0,161,1171
6.974,1491,0,282,1491
7.090,1171,0,161,1171
7.206,1171,0,161,1171
7.326,1049,0,121,1049
7.446,1049,0,121,1049
7.562,1049,0,121,1049
7.678,1049,0,121,1049
7.799,1009,0,121,1009
7.918,1211,0,120,1211
8.035,1049,0,121,1049
8.156,1009,0,80,1009
8.274,1009,0,121,1009
8.391,1009,0,121,1009
8.514,1009,0,121,1009
8.635,1009,0,121,1009
8.755,1009,0,121,1009
8.874,1009,0,121,1009
8.992,1009,0,121,1009
9.112,1049,0,121,1049
9.236,1049,0,161,1049
9.342,1370,0,322,1370
9.466,1130,0,161,1130
9.588,1653,0,241,1653
9.695,1251,0,201,1251
9.818,1130,0,161,1130
9.935,1009,0,121,1009
10.053,1009,0,121,1009
10.172,1009,0,121,1009
10.290,1009,0,121,1009
10.408,1009,0,121,1009
10.528,1009,0,121,1009
10.647,1009,0,121,1009
10.765,1009,0,121,1009
10.889,1009,0,121,1009
11.007,1009,0,121,1009
11.129,1049,0,121,1049
11.248,1009,0,121,1009
11.366,1009,0,121,1009
11.485,1009,0,121,1009
11.607,1009,0,121,1009
11.725,1009,0,121,1009
11.845,1009,0,121,1009
11.961,1009,0,121,1009
12.081,1049,0,121,1049
