t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.015,2371,40,844,2371
0.121,2572,40,963,2572
0.227,2572,40,963,2572
0.333,2572,40,963,2572
0.438,2532,0,964,2532
0.544,2572,0,963,2572
0.650,2532,0,963,2532
0.756,2491,0,964,2491
0.862,2491,0,964,2491
0.968,2491,0,964,2491
1.074,2491,0,964,2491
1.180,2491,0,964,2491
1.285,2491,0,963,2491
1.392,2451,0,924,2451
1.498,2491,0,924,2491
1.604,2532,0,963,2532
1.710,2491,0,924,2491
1.816,2532,0,964,2532
1.922,2532,0,882,2532
2.028,2648,0,1043,2648
2.134,2532,0,963,2532
2.239,2532,0,963,2532
2.345,2572,40,922,2572
2.451,2728,40,882,2728
2.558,2728,40,1043,2728
2.664,2728,40,1083,2728
2.770,2728,40,1083,2728
2.876,2768,0,1203,2768
2.982,2572,0,1003,2572
3.088,2969,0,1402,2969
3.194,2572,0,1003,2572
3.300,2808,0,1201,2808
3.406,2768,0,1203,2768
3.512,2688,0,1123,2688
3.618,2688,0,1083,2688
3.724,2768,0,1163,2768
3.830,2688,0,1083,2688
3.937,2688,0,1083,2688
4.043,2768,0,1203,2768
4.149,2572,0,1003,2572
4.255,2969,0,1402,2969
4.361,2652,0,1043,2652
4.467,2929,0,1362,2929
4.574,2652,0,1083,2652
4.680,2889,0,1282,2889
4.786,2768,0,1163,2768
4.892,2929,0,1282,2929
4.998,2768,0,1163,2768
5.104,2688,0,1083,2688
5.210,2648,0,1123,2648
5.316,2652,0,1043,2652
5.423,2849,0,1322,2849
5.528,2652,0,1043,2652
5.635,2889,0,1322,2889
5.741,2612,0,1043,2612
5.847,2768,0,1163,2768
5.953,2728,0,1123,2728
6.059,2808,0,1201,2808
6.165,2728,0,1163,2728
6.271,2688,0,1083,2688
6.377,2688,0,1163,2688
6.482,2608,0,1043,2608
6.588,2889,0,1362,2889
6.694,2652,0,1043,2652
6.800,2889,0,1282,2889
6.906,2652,0,1083,2652
7.013,2768,0,1163,2768
7.119,2728,0,1123,2728
7.225,2808,0,1201,2808
7.331,2728,0,1123,2728
7.437,2648,0,1083,2648
7.543,2728,0,1163,2728
7.648,2652,0,1043,2652
7.754,2929,0,1402,2929
7.860,2612,0,1043,2612
7.966,2889,0,1282,2889
8.073,2612,0,1083,2612
8.179,2768,0,1163,2768
8.285,2728,0,1123,2728
8.391,2808,0,1203,2808
8.497,2728,0,1123,2728
8.603,2688,0,1083,2688
8.709,2688,0,1163,2688
8.814,2688,0,1043,2688
8.920,3124,0,1522,3124
9.026,2648,0,1083,2648
9.132,2969,0,1362,2969
9.238,2608,0,1083,2608
9.345,2849,0,1201,2849
9.451,2768,0,1163,2768
9.557,2849,0,1241,2849
9.663,2768,0,1163,2768
9.769,2688,0,1083,2688
9.875,2648,0,1123,2648
9.981,2652,0,1043,2652
10.087,2889,0,1322,2889
