t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2371,40,683,2371
0.112,2532,40,922,2532
0.217,2572,40,1003,2572
0.323,2572,0,1003,2572
0.430,2532,0,1003,2532
0.536,2768,0,1163,2768
0.643,2612,0,1043,2612
0.749,2652,0,1083,2652
0.855,2612,0,1083,2612
0.961,2532,0,963,2532
1.066,2491,0,963,2491
1.172,2451,0,924,2451
1.278,2491,0,963,2491
1.384,2532,0,963,2532
1.489,2491,0,922,2491
1.595,2532,0,963,2532
1.701,2532,0,922,2532
1.806,2532,0,963,2532
1.913,2532,0,882,2532
2.022,2491,0,963,2491
2.128,2532,0,963,2532
2.233,2532,0,963,2532
2.339,2532,40,922,2532
2.445,2652,40,963,2652
2.552,2688,80,1043,2688
2.658,2808,120,1003,2808
2.765,2969,80,1282,2969
2.871,2889,120,1201,2889
2.976,2889,120,1121,2889
3.082,2929,120,1201,2929
3.188,3009,120,1201,3009
3.294,2808,80,1083,2808
3.400,2969,80,1241,2969
3.506,2849,120,1161,2849
3.612,2929,120,1121,2929
3.718,2969,120,1241,2969
3.824,2929,120,1241,2929
3.930,2969,120,1201,2969
4.036,2929,120,1161,2929
4.142,3009,120,1241,3009
4.248,2849,120,1121,2849
4.354,2969,80,1282,2969
4.460,2929,80,1241,2929
4.568,2929,80,1241,2929
4.674,2969,80,1241,2969
4.780,3004,80,1362,3004
4.887,3004,80,1282,3004
4.993,2929,40,1161,2929
5.099,2929,40,1322,2929
5.208,3044,80,1362,3044
5.316,3044,80,1322,3044
5.422,2808,40,1083,2808
5.529,3004,80,1322,3004
5.635,2969,80,1241,2969
5.741,2964,80,1282,2964
5.847,3009,80,1322,3009
5.953,2849,40,1161,2849
6.059,2969,80,1241,2969
6.165,2768,40,1003,2768
6.271,2849,80,1201,2849
6.377,2849,80,1161,2849
6.483,2849,80,1161,2849
6.589,2768,80,1083,2768
6.695,2889,80,1201,2889
6.801,2889,40,1201,2889
6.907,2889,80,1203,2889
7.013,2889,80,1201,2889
7.120,2929,80,1241,2929
7.226,2929,80,1161,2929
7.332,2929,40,1282,2929
7.438,3009,80,1241,3009
7.544,2929,80,1201,2929
7.650,2768,40,1083,2768
7.757,2889,80,1201,2889
7.863,2969,120,1282,2969
7.969,2688,80,1083,2688
8.074,2849,80,1163,2849
8.180,2808,80,1083,2808
8.287,2929,80,1282,2929
8.393,3004,80,1241,3004
8.499,3205,80,1442,3205
8.606,3440,80,1640,3440
8.713,3640,80,1837,3640
8.820,3520,80,1677,3520
8.926,3560,80,1757,3560
9.034,3520,80,1757,3520
9.140,3560,80,1717,3560
9.247,3004,80,1322,3004
9.352,2969,80,1241,2969
9.458,3084,80,1362,3084
9.565,3044,80,1362,3044
9.671,3084,80,1362,3084
9.777,3009,80,1241,3009
9.883,3124,200,1241,3124
9.989,3009,200,1201,3009
10.095,3165,320,1161,3165
10.201,3049,280,1201,3049
10.307,3205,360,1201,3205
10.413,3084,240,1241,3084
10.518,3245,400,1161,3245
10.624,3049,240,1201,3049
10.730,3165,320,1201,3165
10.835,3009,240,1201,3009
10.941,3084,240,1201,3084
11.047,3245,400,1161,3245
11.153,3044,240,1241,3044
11.258,3205,360,1201,3205
11.364,3089,240,1201,3089
11.469,3205,360,1161,3205
11.575,3049,240,1241,3049
11.681,3205,360,1161,3205
11.786,3084,240,1241,3084
11.892,3285,320,1280,3285
11.998,3049,200,1241,3049
12.104,3124,280,1241,3124
12.209,3325,400,1240,3325
12.315,3084,240,1241,3084
12.421,3165,320,1161,3165
12.526,3124,280,1201,3124
12.632,3205,360,1161,3205
12.738,3049,240,1241,3049
12.844,3245,360,1160,3245
12.949,3009,240,1201,3009
13.055,3124,280,1201,3124
13.160,3084,320,1201,3084
13.266,3084,240,1201,3084
13.372,3245,400,1161,3245
13.478,3049,240,1241,3049
13.583,3165,360,1161,3165
13.689,3084,280,1241,3084
13.794,3205,360,1161,3205
13.900,3049,240,1201,3049
14.006,3205,360,1161,3205
14.111,3049,240,1241,3049
14.217,3124,280,1201,3124
14.323,3124,320,1161,3124
14.429,3124,240,1241,3124
14.535,3445,400,1360,3445
14.641,3049,200,1241,3049
14.747,3205,360,1201,3205
14.852,3089,240,1201,3089
14.958,3205,360,1161,3205
15.064,3049,240,1241,3049
