t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2572,40,922,2572
0.112,2648,40,1003,2648
0.217,2612,40,1003,2612
0.323,2572,40,963,2572
0.429,2572,0,963,2572
0.535,2572,0,1003,2572
0.641,2532,0,963,2532
0.747,2491,0,964,2491
0.853,2491,0,964,2491
0.959,2491,0,964,2491
1.065,2491,0,964,2491
1.170,2451,0,924,2451
1.276,2491,0,963,2491
1.382,2491,0,924,2491
1.488,2491,0,924,2491
1.595,2532,0,963,2532
1.701,2491,0,922,2491
1.806,2532,0,963,2532
1.913,2532,0,844,2532
2.019,2532,0,963,2532
2.124,2532,0,963,2532
2.230,2648,0,1043,2648
2.339,2451,40,922,2451
2.445,2652,40,1003,2652
2.551,3084,40,1482,3084
2.657,3084,40,1442,3084
2.763,3165,40,1440,3165
2.869,3165,0,1482,3165
2.975,2929,0,1362,2929
3.081,3044,0,1442,3044
3.187,2929,0,1362,2929
3.292,3004,0,1442,3004
3.398,3084,0,1482,3084
3.504,3004,0,1402,3004
3.610,3084,0,1482,3084
3.716,3124,0,1482,3124
3.822,2929,0,1322,2929
3.927,3044,0,1402,3044
4.033,2929,0,1362,2929
4.139,3004,0,1442,3004
4.245,3084,0,1522,3084
4.351,3004,0,1442,3004
4.457,3084,0,1442,3084
4.563,3124,0,1482,3124
4.669,2969,0,1362,2969
4.775,3124,0,1482,3124
4.881,3124,0,1520,3124
4.987,3044,0,1482,3044
5.093,3165,0,1520,3165
5.199,3044,0,1482,3044
5.305,3044,0,1482,3044
5.411,3044,0,1442,3044
5.517,2889,0,1282,2889
5.623,2969,0,1402,2969
5.729,2964,0,1442,2964
5.835,3084,0,1482,3084
5.941,3044,0,1442,3044
6.047,3084,0,1482,3084
6.153,3084,0,1482,3084
6.259,2964,0,1362,2964
6.365,2889,0,1322,2889
6.471,3004,0,1442,3004
6.577,3004,0,1442,3004
6.683,3124,0,1520,3124
6.789,3084,0,1482,3084
6.895,3084,0,1522,3084
7.001,3165,0,1560,3165
7.107,2929,0,1322,2929
7.213,2964,0,1402,2964
