t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2728,40,1043,2728
0.112,2612,40,963,2612
0.218,2612,40,963,2612
0.324,2572,40,963,2572
0.430,2532,0,963,2532
0.536,2572,0,1003,2572
0.642,2532,0,963,2532
0.748,2532,0,963,2532
0.854,2491,0,963,2491
0.959,2491,0,963,2491
1.065,2491,0,963,2491
1.171,2451,0,922,2451
1.277,2491,0,963,2491
1.383,2491,0,963,2491
1.489,2532,0,963,2532
1.595,2608,0,1043,2608
1.700,2728,0,1123,2728
1.806,2572,0,1003,2572
1.912,2572,0,882,2572
2.018,2532,0,963,2532
2.124,2491,0,963,2491
2.229,2491,0,922,2491
2.335,2572,40,963,2572
2.441,2808,40,922,2808
2.547,2648,80,1003,2648
2.654,2889,120,1201,2889
2.760,2889,120,1161,2889
2.866,2929,120,1241,2929
2.972,2969,120,1241,2969
3.078,2969,120,1241,2969
3.184,2964,120,1241,2964
3.290,2808,120,1081,2808
3.396,2969,120,1241,2969
3.502,2929,120,1241,2929
3.608,2889,120,1161,2889
3.714,2964,120,1241,2964
3.820,2964,120,1241,2964
3.926,3124,120,1360,3124
4.034,3245,120,1440,3245
4.140,3084,120,1322,3084
4.246,2889,80,1121,2889
4.353,3165,80,1442,3165
4.460,2889,80,1241,2889
4.566,2929,80,1241,2929
4.672,2969,80,1201,2969
4.778,2889,80,1201,2889
4.883,2929,40,1241,2929
4.990,2969,80,1241,2969
5.095,2929,80,1201,2929
5.201,2929,80,1201,2929
5.307,2964,80,1241,2964
5.413,3009,80,1282,3009
5.519,2969,80,1201,2969
5.625,2889,40,1241,2889
5.731,3004,80,1322,3004
5.837,2849,40,1081,2849
5.943,3009,80,1241,3009
6.049,2969,80,1282,2969
6.157,2889,80,1201,2889
6.263,2929,80,1241,2929
6.369,2808,40,1043,2808
6.475,2929,40,1282,2929
6.581,3004,120,1282,3004
6.687,2728,40,1043,2728
6.793,2929,80,1282,2929
6.899,3205,120,1480,3205
7.004,2849,40,1161,2849
7.110,2849,40,1121,2849
7.216,2969,80,1241,2969
7.322,2889,80,1201,2889
7.428,2849,80,1201,2849
7.534,2808,40,1043,2808
7.641,3044,80,1322,3044
7.747,2964,80,1282,2964
7.853,2889,80,1201,2889
7.960,2929,80,1241,2929
8.065,2849,40,1161,2849
8.171,2929,80,1201,2929
8.277,2849,40,1161,2849
8.383,3004,80,1282,3004
8.489,2849,40,1121,2849
8.599,3044,80,1362,3044
8.705,2889,80,1201,2889
8.813,3004,80,1322,3004
8.919,2608,80,842,2608
9.025,2728,80,1043,2728
9.131,2924,80,1241,2924
9.237,2889,80,1161,2889
9.344,2889,80,1201,2889
9.451,2929,80,1201,2929
9.560,3004,80,1241,3004
9.667,2929,80,1241,2929
9.773,3004,80,1282,3004
9.879,2929,80,1241,2929
9.985,2969,80,1282,2969
10.091,2929,80,1201,2929
10.197,2929,160,1121,2929
10.310,2173,361,321,2173
10.416,3044,961,360,3044
10.522,4425,1555,875,4425
10.628,5674,2420,1031,5674
10.734,7360,3975,1062,7360
10.840,7714,4204,1060,7714
10.946,7937,4243,1216,7937
11.053,7753,4243,1060,7753
11.159,7819,4243,1139,7819
11.265,7819,4283,1139,7819
11.371,7780,4243,1060,7780
11.477,7753,4243,1060,7753
11.582,7753,4243,1060,7753
11.688,7714,4283,1060,7714
11.794,7741,4243,1100,7741
11.900,7753,4243,1021,7753
12.006,7793,4243,1060,7793
12.112,7714,4243,1021,7714
12.218,7702,4243,1021,7702
12.323,7753,4243,1060,7753
12.429,7780,4243,1060,7780
12.535,7780,4243,1060,7780
12.641,7780,4243,1060,7780
12.747,7793,4243,1060,7793
12.852,7793,4243,1060,7793
12.958,7702,4283,1060,7702
13.065,7702,4243,1021,7702
13.170,7753,4243,1021,7753
13.276,7819,4243,1060,7819
13.382,7793,4243,1060,7793
13.488,7819,4237,1139,7819
13.594,7780,4237,1178,7780
13.699,7741,4243,1060,7741
13.806,7780,4283,1060,7780
13.912,7793,4243,1060,7793
14.018,7793,4237,1060,7793
14.124,7753,4243,1060,7753
14.230,7741,4283,1060,7741
14.336,7741,4283,1060,7741
14.442,7793,4243,1060,7793
14.548,7753,4243,1021,7753
14.654,7741,4243,1060,7741
14.760,7741,4283,1060,7741
14.866,7741,4283,1060,7741
14.972,7793,4243,1060,7793
15.078,7780,4243,1060,7780
15.183,7741,4243,1060,7741
15.289,7741,4283,1060,7741
15.395,7780,4283,1060,7780
15.501,7793,4243,1100,7793
15.607,7753,4243,1060,7753
15.713,7780,4243,1060,7780
15.819,7780,4243,1060,7780
15.925,7898,4237,1176,7898
16.031,7819,4243,1100,7819
16.137,7859,4243,1139,7859
16.243,7741,4243,1060,7741
16.348,7832,4243,1100,7832
16.454,7793,4243,1060,7793
16.560,7753,4243,1060,7753
16.666,7741,4283,1060,7741
16.772,7780,4243,1060,7780
16.878,7793,4243,1060,7793
16.983,7753,4243,1060,7753
17.089,7714,4243,1021,7714
17.195,7714,4243,1021,7714
17.301,7753,4283,1021,7753
17.407,7793,4283,1060,7793
17.512,7753,4243,1060,7753
17.618,7753,4243,1060,7753
17.725,7753,4243,1021,7753
17.830,7753,4243,1060,7753
17.936,7753,4243,1060,7753
18.042,7741,4283,1060,7741
18.147,7741,4283,1060,7741
18.253,7780,4243,1060,7780
18.359,7793,4243,1060,7793
18.464,7780,4283,1100,7780
18.570,7780,4283,1060,7780
18.676,7780,4283,1060,7780
18.782,7793,4243,1060,7793
18.887,7819,4283,1100,7819
18.993,7780,4243,1100,7780
