t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,3285,0,1560,3285
0.114,3165,0,1402,3165
0.220,3004,0,1322,3004
0.327,3084,0,1362,3084
0.433,3044,0,1322,3044
0.539,3004,0,1282,3004
0.648,3205,0,1440,3205
0.754,2808,0,1043,2808
0.860,2889,0,1201,2889
0.965,2768,0,1163,2768
1.071,2572,0,1003,2572
1.177,2572,0,1043,2572
1.282,2572,0,1003,2572
1.388,2612,0,1123,2612
1.494,2491,0,963,2491
1.600,2491,0,964,2491
1.706,2491,0,963,2491
1.812,2532,0,922,2532
1.918,2491,0,842,2491
2.024,2451,0,762,2451
2.129,2532,0,882,2532
2.235,2491,0,842,2491
2.343,2371,0,683,2371
2.449,2411,0,723,2411
2.555,2451,0,803,2451
2.660,2451,0,762,2451
2.766,2572,0,882,2572
2.872,2532,0,882,2532
2.978,2491,40,803,2491
3.084,2612,40,963,2612
3.190,2652,40,963,2652
3.295,2648,40,1003,2648
3.402,2808,40,1161,2808
3.508,2808,40,1123,2808
3.614,2849,0,1322,2849
3.720,2688,0,1083,2688
3.826,2688,0,1123,2688
3.933,2768,0,1163,2768
4.038,2728,0,1123,2728
4.145,2688,0,1123,2688
4.250,2728,0,1163,2728
4.357,2688,0,1123,2688
4.462,2728,0,1163,2728
4.569,2808,0,1282,2808
4.674,2612,0,1003,2612
4.780,2728,0,1203,2728
4.886,2572,0,1003,2572
4.992,2728,0,1203,2728
5.098,2572,0,1003,2572
5.204,2889,0,1241,2889
5.310,2652,0,1043,2652
5.416,2768,0,1163,2768
5.522,2612,0,1043,2612
5.628,2768,0,1163,2768
5.734,2688,0,1043,2688
5.840,2768,0,1201,2768
5.946,2688,0,1083,2688
6.052,2648,0,1083,2648
6.159,2648,0,1083,2648
6.265,2648,0,1083,2648
6.371,2648,0,1083,2648
6.477,2652,0,1083,2652
6.583,2768,0,1163,2768
6.689,2728,0,1163,2728
6.794,2688,0,1123,2688
6.900,2728,0,1123,2728
7.006,2688,0,1123,2688
7.112,2728,0,1123,2728
7.218,2849,0,1241,2849
