t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2491,40,884,2491
0.112,2572,40,963,2572
0.218,2572,40,963,2572
0.324,2612,40,963,2612
0.430,2532,0,964,2532
0.536,2491,0,963,2491
0.642,2532,0,1003,2532
0.748,2532,0,964,2532
0.854,2491,0,964,2491
0.960,2491,0,964,2491
1.066,2491,0,964,2491
1.171,2491,0,964,2491
1.277,2491,0,964,2491
1.383,2491,0,924,2491
1.489,2491,0,924,2491
1.595,2532,0,963,2532
1.701,2532,0,963,2532
1.807,2572,0,1003,2572
1.913,2688,0,1043,2688
2.018,2532,0,963,2532
2.124,2532,0,964,2532
2.230,2532,0,963,2532
2.335,2532,40,922,2532
2.441,2612,40,963,2612
2.548,2849,80,1081,2849
2.655,2969,80,1282,2969
2.761,2929,120,1241,2929
2.866,3009,120,1282,3009
2.972,2969,120,1201,2969
3.078,3009,120,1201,3009
3.184,2969,120,1241,2969
3.291,2969,120,1241,2969
3.397,3009,120,1241,3009
3.503,2969,120,1241,2969
3.609,3009,120,1161,3009
3.715,2889,80,1201,2889
3.821,3124,80,1402,3124
3.927,2969,120,1282,2969
4.034,3009,120,1282,3009
4.140,3044,120,1362,3044
4.246,3009,120,1201,3009
4.354,3004,80,1362,3004
4.459,2768,40,1043,2768
4.566,3044,80,1362,3044
4.672,2969,80,1282,2969
4.778,3044,80,1322,3044
4.885,2889,80,1201,2889
4.992,2889,80,1201,2889
5.098,2808,40,1083,2808
5.204,2929,40,1322,2929
5.311,3205,120,1520,3205
5.417,2969,80,1241,2969
5.523,2929,80,1241,2929
5.629,2929,80,1201,2929
5.735,2929,80,1201,2929
5.841,2929,80,1241,2929
5.947,2929,80,1282,2929
6.054,2889,40,1201,2889
6.161,3165,40,1482,3165
6.268,3165,120,1482,3165
6.374,2929,80,1241,2929
6.480,3049,80,1322,3049
6.589,3009,40,1322,3009
6.696,3009,80,1322,3009
6.802,2849,40,1083,2849
6.908,2929,40,1282,2929
7.014,2929,80,1201,2929
7.120,2849,40,1203,2849
7.226,2808,80,1123,2808
7.332,2808,80,1123,2808
7.439,2889,80,1201,2889
7.545,2808,40,1083,2808
7.652,2969,80,1282,2969
7.760,2849,40,1201,2849
7.866,2849,40,1161,2849
7.972,2969,80,1241,2969
8.078,2969,80,1241,2969
8.184,2969,40,1201,2969
8.290,2728,40,1043,2728
8.396,3124,80,1482,3124
8.502,3124,80,1402,3124
8.608,2889,40,1241,2889
8.714,2929,40,1241,2929
8.820,2849,80,1083,2849
8.926,2768,80,1083,2768
9.032,2849,80,1161,2849
9.140,2889,80,1161,2889
9.246,2768,80,1083,2768
9.352,3009,80,1282,3009
9.459,2929,80,1241,2929
9.565,2929,80,1241,2929
9.672,2929,80,1241,2929
9.779,2929,80,1241,2929
9.886,2889,80,1201,2889
9.992,2964,80,1241,2964
10.098,2929,80,1201,2929
10.204,2929,200,1121,2929
10.310,3044,240,1201,3044
10.415,3049,240,1161,3049
10.521,3009,240,1201,3009
10.627,3009,200,1201,3009
10.732,3165,320,1161,3165
10.838,3009,200,1241,3009
10.944,3165,320,1201,3165
11.051,3049,240,1201,3049
11.157,3049,240,1201,3049
11.262,3049,240,1201,3049
11.367,2969,200,1201,2969
11.473,3165,360,1161,3165
11.579,3009,200,1201,3009
11.685,3124,320,1161,3124
11.791,3049,240,1201,3049
11.896,2969,200,1201,2969
12.002,3049,240,1201,3049
12.108,3009,200,1201,3009
12.214,3165,360,1161,3165
12.319,3009,200,1201,3009
12.425,3084,280,1161,3084
12.531,3009,240,1201,3009
12.637,2969,200,1201,2969
12.743,3084,280,1201,3084
12.849,3049,240,1241,3049
12.954,3165,320,1201,3165
13.060,3165,200,1362,3165
13.166,3165,280,1241,3165
13.271,3124,240,1322,3124
13.378,3009,200,1241,3009
13.484,3205,280,1201,3205
13.590,3049,240,1201,3049
13.696,3165,320,1201,3165
13.802,3049,240,1241,3049
13.907,3089,280,1201,3089
14.013,3089,240,1241,3089
14.119,3049,200,1241,3049
14.224,3165,320,1201,3165
14.330,3049,240,1241,3049
14.436,3165,320,1201,3165
14.542,3089,240,1241,3089
14.647,3084,280,1241,3084
14.753,3089,240,1241,3089
14.859,3049,200,1241,3049
14.965,3165,320,1201,3165
15.071,3049,200,1241,3049
15.177,3165,320,1201,3165
15.282,3089,240,1241,3089
15.388,3084,280,1201,3084
15.494,3089,240,1241,3089
15.599,3009,200,1241,3009
15.705,3165,320,1201,3165
15.811,3009,200,1241,3009
15.917,3124,320,1201,3124
16.022,3089,240,1241,3089
16.128,3044,280,1201,3044
16.233,3089,240,1241,3089
16.339,3009,200,1241,3009
16.445,3205,360,1201,3205
16.551,3049,200,1282,3049
16.657,3124,280,1201,3124
16.762,3084,240,1241,3084
16.868,3049,200,1241,3049
16.974,3084,280,1201,3084
17.080,3049,240,1241,3049
17.185,3205,320,1201,3205
17.291,3049,200,1241,3049
17.397,3165,280,1241,3165
