t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,3165,0,1482,3165
0.111,3009,0,1482,3009
0.217,4113,0,2551,4113
0.322,4306,0,2751,4306
0.428,4346,0,2791,4346
0.533,4346,0,2791,4346
0.639,4346,0,2791,4346
0.744,3365,0,1760,3365
0.850,2572,0,1043,2572
0.956,2491,0,963,2491
1.062,2532,0,1083,2532
1.167,3993,0,2472,3993
1.273,4186,0,2631,4186
1.378,4226,0,2671,4226
1.484,4226,0,2671,4226
1.589,4226,0,2671,4226
1.695,4226,0,2631,4226
1.800,4226,0,2631,4226
1.906,4266,0,2671,4266
2.011,4273,0,2671,4273
2.117,4233,0,2671,4233
2.222,4233,0,2551,4233
2.328,4273,0,2671,4273
2.433,4233,0,2671,4233
2.542,4233,0,2631,4233
2.647,4313,39,2671,4313
2.753,4385,39,2671,4385
2.859,4665,39,2945,4665
2.964,4704,39,3025,4704
3.070,4665,39,2985,4665
3.176,4625,0,3025,4625
3.282,4625,0,2985,4625
3.387,4545,0,2945,4545
3.493,4585,0,3025,4585
3.598,4625,0,3105,4625
3.704,4585,0,3025,4585
3.810,4545,0,2985,4545
3.915,4704,0,3065,4704
4.021,4665,0,3065,4665
4.127,4625,0,3025,4625
4.232,4545,0,2985,4545
4.338,4704,0,3184,4704
4.444,4665,0,3065,4665
4.549,4545,0,2985,4545
4.655,4625,0,3065,4625
4.760,4665,0,3065,4665
4.866,4665,0,3065,4665
4.972,4625,0,3025,4625
5.077,4665,0,3065,4665
5.182,4744,0,3144,4744
5.288,4625,0,3025,4625
5.394,4585,0,3025,4585
5.499,4625,0,3065,4625
5.604,4704,0,3105,4704
5.710,4545,0,2985,4545
5.816,4625,0,3065,4625
5.921,4585,0,3025,4585
6.027,4545,0,2985,4545
6.132,4505,0,2985,4505
6.238,4856,0,3264,4856
6.344,4625,0,3065,4625
6.450,4545,0,2985,4545
6.555,4585,0,3025,4585
6.661,4665,0,3065,4665
6.767,4545,0,2985,4545
6.872,4665,0,3065,4665
6.978,4625,0,3065,4625
7.083,4665,0,3065,4665
7.189,4704,0,3105,4704
7.295,4737,0,3224,4737
7.401,4896,0,3298,4896
7.506,4665,0,3025,4665
7.612,4665,0,3065,4665
7.718,4737,0,3184,4737
7.823,4776,0,3184,4776
7.929,4697,0,3105,4697
8.035,4776,0,3184,4776
8.140,4704,0,3105,4704
8.246,4704,0,3065,4704
8.352,4776,0,3144,4776
