t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2532,40,882,2532
0.111,3009,40,1402,3009
0.217,4193,39,2551,4193
0.322,4385,39,2751,4385
0.428,4346,0,2751,4346
0.533,4346,0,2791,4346
0.639,4385,0,2830,4385
0.744,3325,0,1722,3325
0.850,2612,0,1083,2612
0.956,2532,0,1004,2532
1.062,2572,0,1083,2572
1.167,4073,0,2472,4073
1.273,4226,0,2671,4226
1.378,4266,0,2711,4266
1.484,4266,0,2711,4266
1.589,4266,0,2711,4266
1.695,4266,0,2671,4266
1.801,4266,0,2671,4266
1.906,4306,0,2671,4306
2.012,4313,0,2711,4313
2.117,4273,0,2671,4273
2.223,4273,0,2631,4273
2.328,4273,0,2671,4273
2.454,4273,0,2671,4273
2.560,4273,39,2631,4273
2.665,4385,39,2751,4385
2.773,4625,79,2945,4625
2.878,4776,79,3065,4776
2.986,4665,79,2905,4665
3.092,4346,79,2671,4346
3.197,4273,79,2591,4273
3.303,4385,79,2671,4385
3.408,4425,79,2711,4425
3.514,4465,79,2706,4465
3.623,4385,119,2671,4385
3.729,4505,79,2786,4505
3.834,4505,79,2706,4505
3.940,4385,119,2671,4385
4.045,4545,79,2826,4545
4.151,4505,79,2706,4505
4.257,4385,79,2671,4385
4.364,4545,79,2786,4545
4.469,4465,79,2706,4465
4.575,4385,79,2671,4385
4.680,4313,79,2631,4313
4.786,4385,79,2671,4385
4.891,4465,39,2706,4465
4.997,4585,39,2905,4585
5.102,4385,79,2671,4385
5.210,4385,79,2671,4385
5.316,4385,79,2671,4385
5.424,4346,79,2631,4346
5.530,4505,39,2786,4505
5.636,4585,79,2826,4585
5.742,4425,79,2711,4425
5.848,4385,79,2671,4385
5.954,4425,79,2671,4425
6.059,4425,79,2711,4425
6.165,4545,39,2786,4545
6.271,4465,39,2706,4465
6.378,4385,79,2671,4385
6.484,4425,79,2671,4425
6.591,4425,79,2711,4425
6.696,4505,39,2786,4505
6.802,4425,79,2671,4425
6.908,4385,79,2671,4385
7.015,4346,79,2671,4346
7.121,4346,79,2671,4346
7.228,4385,79,2671,4385
7.334,4385,79,2671,4385
7.441,4385,79,2671,4385
7.547,4346,79,2671,4346
7.653,4505,79,2746,4505
7.758,4585,39,2905,4585
7.864,4505,79,2746,4505
7.970,4465,39,2667,4465
8.076,4625,39,2945,4625
8.182,4425,79,2711,4425
8.289,4425,39,2751,4425
8.395,4425,79,2711,4425
8.500,4465,39,2826,4465
8.607,4313,79,2631,4313
8.713,4425,39,2671,4425
8.820,4545,39,2826,4545
8.928,4313,79,2631,4313
9.035,4346,79,2671,4346
9.141,4385,79,2671,4385
9.247,4425,79,2711,4425
9.352,4425,79,2671,4425
9.458,4425,79,2711,4425
9.564,4465,39,2746,4465
9.669,4505,79,2706,4505
9.777,4385,79,2711,4385
9.883,4425,79,2671,4425
9.988,4385,79,2671,4385
10.095,4306,119,2591,4306
10.201,4306,79,2631,4306
10.307,4346,79,2631,4346
10.413,4346,79,2631,4346
10.518,4306,79,2631,4306
10.625,4346,79,2631,4346
