t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2290,40,602,2290
0.113,2411,40,683,2411
0.218,3720,0,2036,3720
0.324,4153,0,2472,4153
0.429,4346,0,2671,4346
0.534,4465,0,2786,4465
0.640,4505,0,2786,4505
0.745,4465,0,2786,4465
0.850,4465,0,2786,4465
0.956,2929,0,1121,2929
1.062,2572,0,922,2572
1.168,2648,0,1083,2648
1.274,2532,0,963,2532
1.379,3405,0,1880,3405
1.485,4113,0,2551,4113
1.591,4193,0,2631,4193
1.696,4193,0,2631,4193
1.802,4233,0,2671,4233
1.907,4233,0,2631,4233
2.013,4233,0,2631,4233
2.118,4233,0,2591,4233
2.224,4233,0,2551,4233
2.329,4233,0,2551,4233
2.434,4233,0,2631,4233
2.540,4233,0,2511,4233
2.646,4193,0,2511,4193
2.751,4233,0,2591,4233
2.856,4233,0,2591,4233
2.962,4153,39,2511,4153
3.067,4306,39,2631,4306
3.173,4505,39,2587,4505
3.278,5166,39,3378,5166
3.384,5444,39,3610,5444
3.490,5484,39,3690,5484
3.596,5444,0,3729,5444
3.702,5444,0,3650,5444
3.807,5524,0,3769,5524
3.913,5365,0,3650,5365
4.019,5365,0,3610,5365
4.124,5564,0,3769,5564
4.231,5564,0,3809,5564
4.337,5285,0,3576,5285
4.442,5254,0,3576,5254
4.549,5214,0,3537,5214
4.654,5206,0,3537,5206
4.760,5206,0,3537,5206
4.866,5444,0,3690,5444
4.971,5444,0,3729,5444
5.077,5484,0,3769,5484
5.182,5524,0,3769,5524
5.288,5603,0,3809,5603
5.394,5564,0,3848,5564
5.499,5214,0,3497,5214
5.605,5206,0,3497,5206
5.710,5524,0,3769,5524
5.816,5603,0,3809,5603
5.922,5603,0,3809,5603
6.028,5524,0,3769,5524
6.133,5285,0,3571,5285
6.239,5246,0,3537,5246
6.345,5246,0,3537,5246
6.451,5214,0,3537,5214
6.556,5285,0,3576,5285
6.662,5206,0,3537,5206
6.768,5206,0,3537,5206
6.873,5175,0,3497,5175
6.979,5285,0,3616,5285
7.084,5405,0,3690,5405
7.190,5405,0,3729,5405
7.296,5246,0,3537,5246
7.402,5206,0,3537,5206
7.507,5214,0,3497,5214
7.613,5166,0,3497,5166
7.719,5166,0,3497,5166
7.825,5484,0,3690,5484
7.931,5095,0,3298,5095
8.037,4665,0,2905,4665
8.143,4306,0,2551,4306
8.249,4233,0,2511,4233
8.354,4033,0,2352,4033
8.460,2133,40,562,2133
