t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2572,40,922,2572
0.112,3009,40,1442,3009
0.217,4186,39,2551,4186
0.322,4425,39,2786,4425
0.428,4385,0,2791,4385
0.533,4385,0,2830,4385
0.639,4385,0,2830,4385
0.744,3445,0,1800,3445
0.850,2652,0,1083,2652
0.956,2532,0,1003,2532
1.062,2491,0,1043,2491
1.168,4033,0,2511,4033
1.273,4226,0,2671,4226
1.379,4306,0,2711,4306
1.484,4266,0,2711,4266
1.590,4266,0,2711,4266
1.695,4306,0,2711,4306
1.801,4306,0,2711,4306
1.906,4306,0,2671,4306
2.012,4306,0,2711,4306
2.118,4273,0,2711,4273
2.223,4313,0,2671,4313
2.329,4266,0,2671,4266
2.434,4273,0,2671,4273
2.540,4273,39,2631,4273
2.645,4425,39,2751,4425
2.751,4545,79,2866,4545
2.857,4737,79,3065,4737
2.962,4704,79,2866,4704
3.071,4585,79,2826,4585
3.177,4425,119,2711,4425
3.283,4585,119,2706,4585
3.389,4585,79,2826,4585
3.495,4465,119,2706,4465
3.600,4465,119,2706,4465
3.706,4425,119,2706,4425
3.814,4545,119,2786,4545
3.921,4465,119,2706,4465
4.027,4505,79,2746,4505
4.133,4465,119,2706,4465
4.238,4545,119,2786,4545
4.344,4585,79,2786,4585
4.449,4585,119,2786,4585
4.555,4505,79,2746,4505
4.669,4385,79,2711,4385
4.775,4385,79,2671,4385
4.880,4505,79,2746,4505
4.986,4385,79,2711,4385
5.092,4425,79,2706,4425
5.198,4385,79,2671,4385
5.303,4385,79,2671,4385
5.409,4545,39,2826,4545
5.514,4465,79,2711,4465
5.620,4425,79,2706,4425
5.726,4425,79,2706,4425
5.840,4385,79,2711,4385
5.946,4425,39,2711,4425
6.051,4425,79,2711,4425
6.157,4385,79,2671,4385
6.263,4465,79,2746,4465
6.370,4346,79,2671,4346
6.475,4385,79,2671,4385
6.581,4385,79,2671,4385
6.686,4425,79,2706,4425
6.792,4385,79,2671,4385
6.898,4425,79,2706,4425
7.003,4425,79,2706,4425
7.109,4425,79,2667,4425
7.214,4505,39,2746,4505
7.320,4465,79,2711,4465
7.426,4385,79,2671,4385
7.531,4385,39,2671,4385
7.637,4385,79,2671,4385
7.742,4385,79,2671,4385
7.848,4385,79,2706,4385
7.953,4465,39,2667,4465
8.060,4665,39,2945,4665
8.165,4505,79,2746,4505
8.271,4465,79,2746,4465
8.377,4385,39,2671,4385
8.482,4425,79,2711,4425
8.588,4306,79,2631,4306
8.693,4425,79,2706,4425
8.799,4425,79,2711,4425
8.904,4505,39,2746,4505
9.010,4585,39,2866,4585
9.116,4465,79,2746,4465
9.221,4425,79,2706,4425
9.329,4425,79,2711,4425
9.435,4425,79,2706,4425
9.540,4505,39,2786,4505
9.648,4385,79,2671,4385
9.754,4425,79,2667,4425
9.859,4425,39,2746,4425
9.967,4346,79,2631,4346
10.082,4306,119,2631,4306
10.188,4273,79,2551,4273
10.295,4346,79,2631,4346
10.400,4346,79,2671,4346
10.506,4425,79,2706,4425
10.613,4385,79,2671,4385
10.721,4385,79,2671,4385
10.827,4385,79,2671,4385
10.933,4385,79,2671,4385
11.038,4425,79,2671,4425
11.145,4306,119,2631,4306
11.251,4385,79,2671,4385
11.357,4425,79,2706,4425
11.465,4385,79,2671,4385
11.571,4425,79,2706,4425
11.677,4465,79,2706,4465
11.783,4425,119,2587,4425
11.889,4306,279,2312,4306
11.996,6526,1938,2408,6526
12.103,8866,3883,2585,8866
12.227,9321,4151,2663,9321
12.333,9282,4184,2624,9282
12.439,8969,4190,2271,8969
12.544,5206,755,2503,5206
12.650,4505,199,2507,4505
12.756,4425,159,2547,4425
12.862,4465,119,2627,4465
12.970,3600,120,1760,3600
13.076,2728,40,1123,2728
13.182,2688,0,1083,2688
13.288,2688,40,922,2688
