t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2331,0,844,2331
0.112,2889,0,1402,2889
0.217,4113,0,2551,4113
0.323,4346,0,2786,4346
0.428,4346,0,2786,4346
0.534,4385,0,2830,4385
0.639,4385,0,2830,4385
0.745,3245,0,1682,3245
0.851,2612,0,1043,2612
0.957,2491,0,963,2491
1.062,2728,0,1284,2728
1.168,4033,0,2472,4033
1.273,4193,0,2631,4193
1.379,4193,0,2671,4193
1.484,4233,0,2671,4233
1.598,4273,0,2671,4273
1.703,4233,0,2671,4233
1.809,4273,0,2671,4273
1.914,4273,0,2631,4273
2.020,4273,0,2671,4273
2.125,4233,0,2671,4233
2.231,4233,0,2591,4233
2.336,4233,0,2671,4233
2.441,4233,0,2631,4233
2.547,4153,39,2551,4153
2.652,4346,39,2671,4346
2.758,4425,39,2746,4425
2.864,4657,39,3025,4657
2.969,4744,39,3025,4744
3.075,4856,39,3224,4856
3.181,4824,0,3184,4824
3.286,4744,0,3144,4744
3.392,4976,0,3457,4976
3.498,4665,0,3065,4665
3.603,4592,0,2990,4592
3.709,5015,0,3378,5015
3.815,4665,0,3065,4665
3.920,4585,0,3030,4585
4.026,5095,0,3457,5095
4.132,4816,0,3224,4816
4.237,4784,0,3184,4784
4.343,5095,0,3457,5095
4.450,4784,0,3184,4784
4.555,4472,0,2910,4472
4.661,4944,0,3304,4944
4.767,4585,0,2990,4585
4.872,4665,0,3105,4665
4.978,5095,0,3417,5095
5.084,4784,0,3184,4784
5.189,4784,0,3224,4784
5.295,4824,0,3224,4824
5.401,4625,0,3030,4625
5.506,4744,0,3144,4744
5.612,5055,0,3417,5055
5.718,4784,0,3184,4784
5.823,4856,0,3264,4856
5.929,4896,0,3304,4896
6.035,4665,0,3065,4665
6.140,4704,0,3105,4704
6.246,4704,0,3105,4704
6.351,4625,0,3070,4625
6.456,4625,0,3070,4625
6.562,4784,0,3144,4784
6.667,4665,0,3065,4665
6.773,4665,0,3105,4665
6.878,4704,0,3105,4704
6.984,4625,0,3030,4625
7.090,4665,0,3105,4665
7.195,4665,0,3065,4665
7.301,4585,0,3030,4585
7.406,5015,0,3417,5015
7.512,4704,0,3065,4704
7.618,4585,0,3030,4585
7.723,5015,0,3343,5015
7.829,4744,0,3144,4744
7.935,4944,0,3304,4944
8.041,4625,0,3065,4625
8.146,4864,0,3224,4864
8.252,4864,0,3224,4864
8.358,5055,0,3417,5055
8.463,4904,0,3264,4904
8.569,4824,0,3224,4824
8.675,4625,0,3030,4625
8.780,4744,0,3144,4744
8.886,4936,0,3264,4936
8.992,4625,0,3070,4625
9.097,4744,0,3184,4744
9.203,4824,0,3184,4824
9.309,5015,0,3378,5015
9.414,4744,0,3105,4744
9.520,4704,0,3105,4704
9.626,4824,0,3184,4824
9.731,4625,0,3070,4625
9.837,4704,0,3110,4704
9.943,4704,0,3105,4704
10.048,4665,0,3065,4665
10.154,4704,0,3105,4704
10.260,4824,0,3144,4824
10.365,5285,0,3616,5285
10.471,4824,0,3144,4824
10.577,4976,0,3338,4976
10.682,4816,0,3184,4816
10.788,4936,0,3304,4936
10.894,4976,0,3338,4976
10.999,4824,0,3224,4824
11.105,5175,0,3497,5175
11.211,4856,0,3304,4856
11.316,4896,0,3224,4896
11.422,4896,0,3304,4896
11.527,4824,0,3224,4824
11.633,4856,0,3264,4856
11.738,4936,0,3343,4936
11.844,4816,0,3264,4816
11.950,4856,0,3304,4856
12.055,4896,0,3304,4896
12.161,4856,0,3224,4856
12.266,4856,0,3264,4856
12.372,4896,0,3264,4896
12.477,4824,0,3224,4824
12.583,4856,0,3304,4856
12.689,4936,0,3343,4936
12.794,4856,0,3264,4856
12.899,4856,0,3304,4856
13.005,4896,0,3304,4896
13.111,4824,0,3224,4824
13.217,4936,0,3378,4936
13.322,4904,0,3264,4904
13.428,4824,0,3224,4824
13.533,4856,0,3304,4856
13.639,4936,0,3264,4936
13.745,4784,0,3105,4784
13.851,4313,0,2555,4313
13.957,4200,0,2515,4200
14.063,4240,0,2595,4240
14.168,2692,40,1043,2692
