t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
0.006,2889,40,1201,2889
0.112,3049,40,1482,3049
0.218,4193,39,2551,4193
0.323,4385,39,2791,4385
0.428,4385,0,2791,4385
0.534,4385,0,2830,4385
0.639,4385,0,2830,4385
0.745,3285,0,1682,3285
0.851,2572,0,1043,2572
0.957,2491,0,963,2491
1.063,2648,0,1203,2648
1.168,4033,0,2511,4033
1.275,4226,0,2671,4226
1.381,4266,0,2711,4266
1.486,4266,0,2711,4266
1.592,4266,0,2711,4266
1.697,4266,0,2671,4266
1.805,4266,0,2671,4266
1.911,4313,0,2711,4313
2.016,4266,0,2671,4266
2.122,4266,0,2711,4266
2.227,4266,0,2631,4266
2.333,4273,0,2671,4273
2.438,4273,0,2671,4273
2.544,4273,0,2671,4273
2.649,4273,39,2631,4273
2.754,4425,39,2751,4425
2.860,4704,79,2945,4704
2.965,4776,79,2985,4776
3.071,4625,79,2905,4625
3.176,4306,79,2631,4306
3.282,4545,79,2746,4545
3.387,4465,79,2706,4465
3.493,4425,119,2711,4425
3.598,4425,79,2711,4425
3.704,4425,79,2667,4425
3.810,4505,79,2746,4505
3.915,4425,79,2706,4425
4.021,4465,79,2667,4465
4.126,4545,79,2746,4545
4.232,4465,79,2706,4465
4.337,4465,79,2706,4465
4.443,4465,79,2746,4465
4.548,4306,79,2631,4306
4.654,4505,79,2786,4505
4.760,4425,79,2746,4425
4.865,4385,79,2671,4385
4.971,4545,39,2826,4545
5.076,4465,79,2706,4465
5.182,4425,79,2706,4425
5.287,4385,79,2671,4385
5.393,4465,39,2786,4465
5.498,4385,79,2711,4385
5.604,4385,79,2711,4385
5.710,4425,79,2706,4425
5.815,4425,39,2746,4425
5.921,4465,79,2706,4465
6.027,4425,79,2706,4425
6.133,4385,79,2671,4385
6.238,4465,39,2746,4465
6.344,4425,79,2706,4425
6.450,4346,79,2711,4346
6.555,4465,39,2786,4465
6.663,4346,79,2671,4346
6.768,4385,79,2711,4385
6.874,4385,79,2711,4385
6.979,4425,79,2706,4425
7.085,4465,79,2746,4465
7.191,4505,39,2706,4505
7.296,4625,39,2945,4625
7.402,4545,39,2746,4545
7.507,4505,39,2826,4505
7.614,4306,79,2631,4306
7.719,4273,79,2591,4273
7.825,4385,79,2671,4385
7.931,4425,79,2711,4425
8.036,4385,79,2711,4385
8.142,4385,79,2671,4385
8.248,4385,79,2711,4385
8.354,4425,79,2667,4425
8.460,4425,79,2711,4425
8.565,4385,79,2671,4385
8.671,4385,79,2671,4385
8.777,4425,79,2706,4425
8.882,4425,79,2711,4425
8.988,4385,79,2711,4385
9.094,4385,79,2671,4385
9.200,4545,39,2826,4545
9.306,4385,79,2671,4385
9.419,4505,39,2826,4505
9.525,4585,39,2826,4585
9.647,4465,39,2706,4465
9.752,4665,39,2985,4665
9.858,4425,79,2706,4425
9.964,4346,79,2631,4346
10.069,4465,79,2746,4465
10.175,4425,79,2671,4425
10.281,4425,79,2671,4425
10.386,4385,39,2671,4385
10.493,4385,79,2711,4385
10.599,4346,119,2631,4346
10.704,4193,79,2432,4193
10.810,4153,79,2352,4153
10.916,4346,79,2631,4346
11.021,4306,79,2591,4306
11.127,4425,39,2746,4425
11.246,4346,79,2671,4346
11.352,4346,79,2671,4346
11.458,4266,79,2551,4266
11.563,4346,79,2631,4346
11.669,4385,79,2671,4385
11.775,4346,79,2671,4346
11.886,4346,79,2671,4346
11.992,4346,79,2671,4346
12.097,4425,79,2706,4425
12.203,4346,79,2671,4346
12.324,4425,79,2711,4425
12.430,4346,79,2671,4346
12.536,4465,39,2746,4465
12.642,4465,39,2746,4465
12.749,4385,79,2667,4385
12.854,4465,119,2587,4465
12.963,4545,279,2587,4545
13.069,4346,159,2551,4346
13.176,4585,318,2587,4585
13.283,4385,199,2591,4385
13.390,4585,318,2587,4585
13.497,4425,199,2591,4425
13.603,4625,358,2587,4625
13.710,4385,239,2591,4385
13.816,4585,318,2587,4585
13.923,4385,199,2591,4385
14.029,4505,279,2587,4505
14.136,4545,239,2627,4545
14.242,4385,199,2591,4385
14.348,4625,318,2587,4625
14.455,4465,239,2587,4465
14.561,4585,318,2587,4585
14.667,4385,199,2591,4385
14.774,4545,279,2587,4545
14.880,4505,239,2587,4505
